outcome,outcome_name,coefficient,estimate,se,ci_lower,ci_upper,p_value,n_rows,n_datasets,n_targets,fit_note,raw_term
performance_loss_pct,PL (%),"Baseline: Individual, HRL, mT5",20.414284231711534,8.517304843648187,3.72067349281253,37.10789497061054,0.01653890607682509,28200,18,2820,dataset random intercept plus target variance component,Intercept
performance_loss_pct,PL (%),"Composite vs Individual, HRL",-6.93896593406776,1.7053673279620605,-10.281424477284705,-3.5965073908508143,4.7235992355709526e-05,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Composite]"
performance_loss_pct,PL (%),"Trained vs Individual, HRL",-3.6554152285056114,1.7053673279620691,-6.997873771722574,-0.3129566852886492,0.032074835542516,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Trained]"
performance_loss_pct,PL (%),"LRL vs HRL, Individual",24.29815449534858,8.539400422206052,7.5612372182585865,41.03507177243857,0.004435332711837091,28200,18,2820,dataset random intercept plus target variance component,"C(target_resource_level, Treatment(reference=""hrl""))[T.lrl]"
performance_loss_pct,PL (%),"MRL vs HRL, Individual",0.564508162400276,9.162495424143762,-17.393652877434544,18.522669202235097,0.9508728205137498,28200,18,2820,dataset random intercept plus target variance component,"C(target_resource_level, Treatment(reference=""hrl""))[T.mrl]"
performance_loss_pct,PL (%),XLM-R vs mT5,-0.03494050512178526,2.806131689039236,-5.534857551515238,5.4649765412716675,0.9900654094990328,28200,18,2820,dataset random intercept plus target variance component,C(model)[T.xlm-r]
performance_loss_pct,PL (%),Composite × LRL,-7.696587803949684,1.7340859660886727,-11.095333843579828,-4.297841764319539,9.062506041567139e-06,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Composite]:C(target_resource_level, Treatment(reference=""hrl""))[T.lrl]"
performance_loss_pct,PL (%),Trained × LRL,-3.4311355253893017,1.7340859660886816,-6.829881565019463,-0.032389485759140246,0.04785631430558747,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Trained]:C(target_resource_level, Treatment(reference=""hrl""))[T.lrl]"
performance_loss_pct,PL (%),Composite × MRL,1.8326712625216173,1.8606186270762226,-1.814074235512141,5.479416760555376,0.3246341254769418,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Composite]:C(target_resource_level, Treatment(reference=""hrl""))[T.mrl]"
performance_loss_pct,PL (%),Trained × MRL,-2.017929803897609,1.860618627076231,-5.664675301931384,1.6288156941361658,0.2781219935396586,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Trained]:C(target_resource_level, Treatment(reference=""hrl""))[T.mrl]"
performance_loss_pct,PL (%),Target variance,16.0,,,,,28200,18,2820,dataset random intercept plus target variance component,target Var
raw_oracle_gap_points,Raw gap,"Baseline: Individual, HRL, mT5",10.225350566419225,3.499008158916537,3.36742059333101,17.08328053950744,0.003473932366892781,28200,18,2820,dataset random intercept plus target variance component,Intercept
raw_oracle_gap_points,Raw gap,"Composite vs Individual, HRL",-3.687505119888655,0.7005847863880259,-5.060626069325872,-2.314384170451437,1.4136365400421487e-07,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Composite]"
raw_oracle_gap_points,Raw gap,"Trained vs Individual, HRL",-2.782110693741963,0.7005847863880239,-4.155231643179176,-1.408989744304749,7.153363140099572e-05,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Trained]"
raw_oracle_gap_points,Raw gap,"LRL vs HRL, Individual",1.7551756959607945,3.5080852802676192,-5.120545108058841,8.63089649998043,0.6168476728009864,28200,18,2820,dataset random intercept plus target variance component,"C(target_resource_level, Treatment(reference=""hrl""))[T.lrl]"
raw_oracle_gap_points,Raw gap,"MRL vs HRL, Individual",1.1733874614577187,3.7640599736221803,-6.20403452249054,8.550809445405978,0.7552422846112996,28200,18,2820,dataset random intercept plus target variance component,"C(target_resource_level, Treatment(reference=""hrl""))[T.mrl]"
raw_oracle_gap_points,Raw gap,XLM-R vs mT5,0.37806093352406944,1.1527916230760304,-1.8813691293844232,2.637490996432562,0.7429475521709207,28200,18,2820,dataset random intercept plus target variance component,C(model)[T.xlm-r]
raw_oracle_gap_points,Raw gap,Composite × LRL,0.3392277866035722,0.7123827378483316,-1.0570167227871965,1.735472295994341,0.6339407723822835,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Composite]:C(target_resource_level, Treatment(reference=""hrl""))[T.lrl]"
raw_oracle_gap_points,Raw gap,Trained × LRL,0.9127854206842881,0.7123827378483296,-0.4834590887064768,2.309029930075053,0.20008367078562161,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Trained]:C(target_resource_level, Treatment(reference=""hrl""))[T.lrl]"
raw_oracle_gap_points,Raw gap,Composite × MRL,0.6277492212056289,0.7643638306109127,-0.8703763578768345,2.1258748002880923,0.41149238902284657,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Composite]:C(target_resource_level, Treatment(reference=""hrl""))[T.mrl]"
raw_oracle_gap_points,Raw gap,Trained × MRL,-0.6111771914874596,0.7643638306109107,-2.109302770569919,0.8869483875949998,0.4239487500564767,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Trained]:C(target_resource_level, Treatment(reference=""hrl""))[T.mrl]"
raw_oracle_gap_points,Raw gap,Target variance,16.0,,,,,28200,18,2820,dataset random intercept plus target variance component,target Var
