dataset,task,model,metric,resource,oracle_score,source_sd,oracle_minus_median,mean_sources,n_targets
masakhaner_mt5,masakhaner,mT5,F1/LAS,LRL,89.72817537779433,9.311190470328288,16.66905542100043,19.0,19
masakhaner_xlm-r,masakhaner,XLM-R,F1/LAS,LRL,81.72481800977717,12.653307504635304,42.861523955294935,19.0,19
opus100_mt5,opus100,mT5,BLEU,HRL,31.497724518939417,4.674660175953365,26.222343664737743,38.0,5
opus100_mt5,opus100,mT5,BLEU,LRL,11.747926994488159,2.150724051404712,6.072219740511127,38.0,43
opus100_mt5,opus100,mT5,BLEU,MRL,26.548980303779373,4.266373840173385,22.144511845366495,38.0,39
sib200_mt5,sib200,mT5,F1/LAS,HRL,89.88528004459779,18.1847961010742,9.312315099086245,176.0,5
sib200_mt5,sib200,mT5,F1/LAS,LRL,72.94546958823524,13.699226065179737,12.439547585658365,176.0,140
sib200_mt5,sib200,mT5,F1/LAS,MRL,88.35280076902919,17.76190741091174,8.232073976289861,176.0,40
sib200_xlm-r,sib200,XLM-R,F1/LAS,HRL,90.3037989210519,34.05513281879696,7.632884853220444,176.0,5
sib200_xlm-r,sib200,XLM-R,F1/LAS,LRL,62.67073744105888,20.26562668351901,10.983764805728573,176.0,140
sib200_xlm-r,sib200,XLM-R,F1/LAS,MRL,88.08163636952608,32.89033217779057,7.775518514681518,176.0,40
taxi1500_mt5,taxi1500,mT5,F1/LAS,HRL,73.0152862371656,20.385609964474863,21.234259113139696,32.0,6
taxi1500_mt5,taxi1500,mT5,F1/LAS,LRL,24.539812514400662,5.488907042885632,13.06567602516599,32.0,730
taxi1500_mt5,taxi1500,mT5,F1/LAS,MRL,65.88004420824926,18.238245717820806,20.086963069456804,32.0,26
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,HRL,74.24071030572746,13.008373472869243,8.24528204536932,32.0,6
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,LRL,22.41418442904599,4.272102850307598,12.55826090326196,32.0,730
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,MRL,68.41561729834737,11.770783108759876,11.021638863884629,32.0,26
tydiqa_mt5,tydiqa,mT5,F1/LAS,HRL,79.22685240093693,11.026987735904292,13.451215523341759,9.0,2
tydiqa_mt5,tydiqa,mT5,F1/LAS,LRL,84.01570014235827,12.81563288998916,28.962220225404824,9.0,2
tydiqa_mt5,tydiqa,mT5,F1/LAS,MRL,78.236501358248,11.33726947017357,21.963109648253333,9.0,5
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,HRL,72.73615707360383,14.924687803894944,12.652092753420302,9.0,2
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,LRL,70.14246613522106,11.880465212632103,19.16217071494083,9.0,2
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,MRL,66.47065408586604,11.630499296489763,12.174595285406449,9.0,5
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,HRL,68.68114607674893,17.99678680512103,29.278291195417705,73.0,6
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,LRL,47.458505508526855,8.658176099964578,26.866498003073474,73.0,101
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,MRL,80.48581495519662,20.654867189492172,33.07222071715051,73.0,40
ud_pos_mt5,ud_pos,mT5,F1/LAS,HRL,49.82738066282999,12.087079560549233,25.82302358960223,73.0,6
ud_pos_mt5,ud_pos,mT5,F1/LAS,LRL,31.795918558159904,6.9627118355292295,15.390703410739626,73.0,101
ud_pos_mt5,ud_pos,mT5,F1/LAS,MRL,57.429607865759905,14.02227239967014,28.40044683020485,73.0,40
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,HRL,68.43095247435281,14.993463029724992,21.82698425234535,73.0,6
