model,method,method_type,n_cells_hrl,n_cells_mrl,n_cells_lrl,pl_hrl,pl_mrl,pl_lrl,raw_gap_hrl,raw_gap_mrl,raw_gap_lrl,pl_mrl_minus_hrl,pl_lrl_minus_hrl,raw_gap_mrl_minus_hrl,raw_gap_lrl_minus_hrl
mT5,ASJP,Individual,8,8,9,15.378710971387191,23.380325147377302,26.723826601152883,8.022396473588328,10.859897742230626,9.832031020953984,8.001614175990111,11.345115629765692,2.8375012686422973,1.8096345473656559
mT5,Composite-Equal,Composite,8,8,9,15.396959019587333,19.48501665323873,22.555105635490165,7.984052129211733,9.238337989431574,7.885122997703544,4.088057633651397,7.158146615902831,1.2542858602198415,-0.09892913150818927
mT5,Composite-RRF,Composite,8,8,9,14.379648417636737,18.948366630424115,22.559829338486526,6.375304681359114,8.936351310611041,7.8492518117493155,4.5687182127873776,8.18018092084979,2.561046629251927,1.4739471303902016
mT5,Genetic,Individual,8,8,9,20.01726002637953,17.358408112454235,25.540033201698794,11.036478016145487,8.768583812224062,8.792448703497817,-2.6588519139252966,5.522773175319262,-2.2678942039214256,-2.2440293126476707
mT5,Geographic,Individual,8,8,9,21.98649183119151,24.639384792169373,29.339289048084343,10.860906158792618,10.965599325024222,9.252998304294884,2.652892960977862,7.3527972168928315,0.10469316623160374,-1.6079078544977339
mT5,LightGBM,Trained,8,8,9,23.206102420944916,21.27036065122961,26.400958464225024,11.55654300702035,10.379233944526465,9.891799062150424,-1.9357417697153068,3.194856043280108,-1.177309062493885,-1.664743944869926
mT5,MLP,Trained,8,8,9,16.821630141912394,18.72281626152147,25.880702511521264,6.843213291905432,9.123328885848753,9.652737746484693,1.9011861196090756,9.05907236960887,2.2801155939433215,2.809524454579261
mT5,Script,Individual,8,8,9,24.30483643881004,23.504940475829493,23.53499679430744,11.0016467909523,10.666566104443717,9.279730453930604,-0.7998959629805462,-0.7698396445025999,-0.3350806865085829,-1.721916337021696
mT5,Typological,Individual,8,8,9,21.29064112781638,23.253435654074103,33.263369255773554,11.437016233403552,10.947173440364907,11.415018399634782,1.9627945262577242,11.972728127957176,-0.48984279303864575,-0.021997833768770292
mT5,Wikipedia size,Individual,8,8,9,17.47474629466811,31.68577553921674,31.40676326503355,8.05756901793588,14.187984059498962,9.740985819285086,14.21102924454863,13.932016970365442,6.130415041563083,1.6834168013492068
XLM-R,ASJP,Individual,8,8,9,24.37708791213684,17.616905271090125,28.219040297776807,14.920044734047531,9.372196242454464,10.407939033450905,-6.760182641046715,3.841952385639967,-5.547848491593067,-4.512105700596626
XLM-R,Composite-Equal,Composite,8,8,9,13.658627001318429,15.453496901535543,24.559423024656763,6.975910012941078,7.886901477588463,9.718862785964161,1.7948699002171136,10.900796023338334,0.9109914646473847,2.7429527730230827
XLM-R,Composite-RRF,Composite,8,8,9,13.495196557160384,15.553222499013472,24.818111749157126,6.668535843174647,7.952714652373636,9.743935963196233,2.0580259418530886,11.322915191996742,1.2841788091989894,3.0754001200215857
XLM-R,Genetic,Individual,8,8,9,21.03181421597928,17.690854510636246,29.75792047779079,10.049624156222936,9.608562694520522,10.938896300548516,-3.3409597053430353,8.726106261811509,-0.44106146170241445,0.8892721443255791
XLM-R,Geographic,Individual,8,8,9,23.164368415767772,20.17127568076113,25.17083514973494,12.448715703665066,11.422515312941734,10.035326737800148,-2.993092735006641,2.0064667339671693,-1.0262003907233321,-2.413388965864918
XLM-R,LightGBM,Trained,8,8,9,12.277545610477272,13.700627159250828,24.519381833675816,5.407679152550999,7.173075165029305,8.993602679039306,1.4230815487735562,12.241836223198543,1.7653960124783055,3.5859235264883065
XLM-R,MLP,Trained,8,8,9,16.831736543034523,15.923777086688105,24.653101571561063,7.855871197031082,8.394792705326921,9.411330544112962,-0.9079594563464184,7.8213650285265395,0.5389215082958394,1.5554593470818805
XLM-R,Script,Individual,8,8,9,24.05727198885604,23.666128788561977,31.098980168586575,11.425169735128353,14.313309322637835,12.120028654415812,-0.3911432002940636,7.041708179730534,2.8881395875094817,0.6948589192874586
XLM-R,Typological,Individual,8,8,9,19.10146963724101,15.190158930538058,27.46009797677963,9.084885890068158,8.55114643148861,10.877603658102398,-3.9113107067029524,8.358628339538619,-0.5337394585795483,1.7927177680342403
XLM-R,Wikipedia size,Individual,8,8,9,16.570715137319326,24.35853571302105,33.5630695748526,8.878897627162619,14.49726705940876,13.557280542816617,7.787820575701723,16.992354437533272,5.618369432246141,4.678382915653998
