method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources,dataset_model,task,model,model_name,metric,metric_name,method_id,method_type,method_group,target_id,performance_loss_pct,raw_oracle_gap,raw_oracle_gap_points,actual_best_performance_points,predicted_performance_points
Genetic,sib200_mt5::amh,amh,lrl,heb,mrl,kor,mrl,0.7431945267938663,0.7904340141802447,0.0597639860366715,0.0,0.0,0.0,sib200_mt5,0.1,0.05,63.0,63.0,63.0,0.9264705882352942,1.0,1.0,0.7904340141802447,0.0,"lug,spa,som,tur,ces,sna,ceb,tgl,kik,arb,swh,swe,lit,nya,hat,hun,ind,ilo,nld,ibo,wol,vie,mri,ita,dik,ron,dan,yor,deu,fra,fin,eng,por,ewe,pol,ukr,bel,rus,tgk,pes,azb,ckb,urd,mar,hin,npi,kor,asm,tha,tel,ben,kan,ydd,pan,jpn,bod,mni,tam,mya,ory,mal,guj,heb",10.0,0.1470588235294117,1.0,1.0,0.7904340141802447,0.0,"spa,arb,ibo,eng,rus,pes,kor,tel,jpn,heb",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::amh,5.97639860366715,0.0472394873863784,4.72394873863784,79.04340141802447,74.31945267938663
Genetic,sib200_mt5::arb,arb,hrl,heb,mrl,npi,lrl,0.3440801154647431,0.9032292625893178,0.6190556155384547,0.0961862935823345,0.0,0.0,sib200_mt5,0.1,0.05,63.0,63.0,63.0,0.9264705882352942,1.0,1.0,0.9032292625893178,0.0,"hat,fra,hun,nya,ron,por,eng,deu,dik,fin,pol,ewe,kik,lug,lit,ita,mri,nld,ibo,ind,ilo,swh,tgl,swe,wol,vie,yor,tur,ces,ceb,sna,dan,som,spa,ukr,bel,rus,tgk,pes,urd,ckb,azb,hin,npi,mar,bod,asm,tam,kor,tha,tel,ben,jpn,heb,ory,guj,pan,mya,mni,amh,ydd,kan,mal",10.0,0.1470588235294117,1.0,0.0,0.8885220363027199,0.0162829382259341,"eng,ibo,spa,rus,pes,kor,tel,jpn,heb,amh",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::arb,61.905561553845466,0.5591491471245746,55.91491471245747,90.32292625893177,34.40801154647431
Genetic,sib200_mt5::asm,asm,lrl,ben,mrl,tam,mrl,0.7323342214649028,0.7743092020674748,0.0542095851250315,0.1270430570094636,0.0,0.0,sib200_mt5,0.1,0.05,63.0,63.0,63.0,0.9264705882352942,1.0,1.0,0.7743092020674748,0.0,"som,lug,spa,tur,ces,slk,sna,ceb,tgl,kik,arb,lit,swh,swe,nya,vie,hat,hun,ibo,nld,wol,ita,mri,isl,ron,dik,dan,deu,yor,fra,fin,eng,ewe,pol,por,ukr,bel,rus,tgk,pes,azb,ckb,urd,mar,npi,hin,tel,kor,tha,heb,ben,mya,pan,ydd,ory,guj,jpn,mni,kan,amh,tam,mal,bod",10.0,0.1470588235294117,1.0,0.0,0.7507984522335482,0.0303635159845068,"eng,pes,ckb,mar,npi,hin,ben,pan,ory,guj",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::asm,5.42095851250315,0.04197498060257199,4.197498060257199,77.43092020674747,73.23342214649028
Genetic,sib200_mt5::azb,azb,lrl,tur,mrl,mal,lrl,0.6471050777636691,0.7240501650371033,0.1062703815135394,0.0,0.0,0.0,sib200_mt5,0.1,0.05,63.0,63.0,63.0,0.9264705882352942,1.0,1.0,0.7240501650371033,0.0,"nya,vie,spa,ron,lit,wol,yor,tgl,pol,sna,swe,mri,nld,swh,som,por,tur,lug,deu,dik,dan,ewe,eng,ceb,ces,ita,ilo,ibo,ind,hun,fin,fra,hat,kik,arb,tgk,bel,rus,ukr,ckb,urd,pes,mar,npi,hin,ory,heb,amh,pan,guj,kor,kan,ydd,mal,mni,jpn,mya,ben,bod,tha,tel,asm,tam",10.0,0.1470588235294117,1.0,0.0,0.6987214428952414,0.0349819989897577,"spa,tur,eng,ibo,hun,rus,pes,jpn,bod,tel",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::azb,10.62703815135394,0.07694508727343419,7.694508727343418,72.40501650371033,64.71050777636691
Genetic,sib200_mt5::bel,bel,mrl,rus,mrl,kor,mrl,0.8548438713194424,0.8745612240408233,0.0225454229839722,0.2540861140189272,0.0,0.0,sib200_mt5,0.1,0.05,63.0,63.0,63.0,0.9264705882352942,1.0,1.0,0.8745612240408233,0.0,"lug,hat,hrv,wol,arb,por,lit,tur,ceb,eng,slk,nya,kik,vie,ron,som,ces,nld,pol,yor,swh,fin,dik,sna,deu,fra,ita,swe,mri,ibo,spa,dan,ewe,hun,tgl,rus,tgk,ukr,azb,urd,pes,ckb,npi,hin,mar,amh,ydd,tha,ben,kan,bod,jpn,mya,mni,mal,pan,ory,guj,heb,kor,tel,tam,asm",10.0,0.1470588235294117,1.0,0.0,0.8705370147491259,0.0046014037451876,"lit,eng,ces,pol,spa,rus,ukr,pes,ckb,jpn",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::bel,2.25454229839722,0.019717352721380865,1.9717352721380865,87.45612240408232,85.48438713194425
Genetic,sib200_mt5::ben,ben,mrl,ory,lrl,spa,hrl,0.7116691862218596,0.8675302395167322,0.1796606575716563,0.0,0.0,0.0,sib200_mt5,0.1,0.05,63.0,63.0,63.0,0.9264705882352942,1.0,1.0,0.8675302395167322,0.0,"lug,tur,som,spa,slk,ces,sna,ceb,tgl,kik,arb,swh,swe,lit,hat,vie,nya,hun,mri,isl,ibo,nld,wol,ita,dik,ron,dan,yor,deu,fra,fin,eng,ewe,pol,por,ukr,bel,rus,tgk,pes,azb,urd,ckb,mar,hin,npi,heb,asm,tel,kor,amh,tha,ydd,pan,jpn,kan,bod,mni,guj,ory,tam,mal,mya",10.0,0.1470588235294117,1.0,0.0,0.8343510866137231,0.0382455289644911,"eng,pes,ckb,mar,hin,npi,asm,pan,guj,ory",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::ben,17.96606575716563,0.15586105329487265,15.586105329487266,86.75302395167323,71.16691862218596
Genetic,sib200_mt5::bod,bod,lrl,jpn,hrl,tel,lrl,0.0951599967559092,0.180629639552113,0.473176179768355,0.0,0.0,0.0,sib200_mt5,0.1,0.05,63.0,63.0,63.0,0.9264705882352942,1.0,1.0,0.180629639552113,0.0,"tur,spa,som,lug,ces,sna,ceb,tgl,kik,arb,swh,lit,swe,vie,nya,hat,hun,mri,ind,nld,ilo,ibo,wol,ita,dik,ron,dan,deu,fra,fin,eng,yor,ewe,por,pol,ukr,bel,rus,tgk,pes,azb,ckb,urd,mar,hin,npi,amh,heb,kor,tel,tha,ben,pan,mni,guj,jpn,ydd,kan,tam,asm,mya,ory,mal",10.0,0.1470588235294117,1.0,1.0,0.180629639552113,0.0,"spa,ibo,dik,eng,rus,pes,azb,kor,tel,jpn",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::bod,47.3176179768355,0.0854696427962038,8.54696427962038,18.062963955211302,9.51599967559092
Genetic,sib200_mt5::ceb,ceb,mrl,tgl,mrl,spa,hrl,0.8355711286048494,0.8460518815905234,0.0123878372162837,0.457355005234069,0.0,0.0,sib200_mt5,0.1,0.05,63.0,63.0,63.0,0.9264705882352942,1.0,1.0,0.8460518815905234,0.0,"fra,hun,hat,nya,ron,eng,deu,dik,dan,pol,fin,por,ewe,kik,lug,lit,mri,ita,ibo,nld,ind,ilo,swe,swh,tgl,wol,vie,yor,tur,arb,sna,ces,spa,som,ukr,bel,tgk,rus,pes,urd,ckb,azb,hin,npi,mar,bod,tam,asm,kor,tel,tha,ben,heb,ory,jpn,guj,pan,mya,mni,amh,kan,ydd,mal",10.0,0.1470588235294117,1.0,1.0,0.8460518815905234,0.0,"eng,mri,ibo,tgl,spa,rus,pes,azb,tel,jpn",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::ceb,1.23878372162837,0.010480752985673969,1.048075298567397,84.60518815905233,83.55711286048493
Genetic,sib200_mt5::ces,ces,mrl,rus,mrl,dan,mrl,0.7758727372526975,0.9269271141191526,0.1629625183744897,0.2885588807470037,0.0,0.0,sib200_mt5,0.1,0.05,63.0,63.0,63.0,0.9264705882352942,1.0,1.0,0.9269271141191526,0.0,"hat,fra,hrv,hun,nya,ron,eng,dik,deu,pol,fin,por,ewe,kik,lug,lit,mri,ita,ibo,nld,swe,swh,tgl,wol,vie,yor,arb,tur,ceb,sna,dan,slk,spa,som,ukr,bel,tgk,rus,pes,urd,ckb,azb,hin,npi,mar,bod,asm,tha,tam,tel,kor,ben,jpn,ory,mni,heb,pan,kan,guj,mya,amh,mal,ydd",10.0,0.1470588235294117,1.0,0.0,0.919005498531482,0.0085461040755059,"eng,pol,lit,slk,spa,ukr,bel,rus,pes,jpn",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::ces,16.29625183744897,0.15105437686645518,15.105437686645518,92.69271141191527,77.58727372526974
Genetic,sib200_mt5::ckb,ckb,lrl,pes,mrl,kor,mrl,0.5647965868503056,0.6555792476017928,0.1384770202589293,0.0,0.0,0.0,sib200_mt5,0.1,0.05,63.0,63.0,63.0,0.9264705882352942,1.0,1.0,0.6555792476017928,0.0,"vie,spa,lit,wol,ron,yor,pol,tgl,som,sna,swe,swh,nld,mri,slk,por,nya,tur,lug,dan,deu,ewe,dik,eng,ceb,ces,ita,ibo,ind,hun,fin,fra,hat,kik,arb,tgk,ukr,bel,rus,azb,urd,pes,mar,npi,hin,heb,amh,pan,guj,ory,kor,ydd,kan,mal,mni,jpn,mya,ben,bod,tha,tel,asm,tam",10.0,0.1470588235294117,0.0,0.0,0.5849047305144867,0.1078046892817978,"eng,tgk,rus,pes,npi,pan,guj,ory,jpn,ben",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::ckb,13.84770202589293,0.09078266075148711,9.078266075148711,65.55792476017928,56.479658685030564
Genetic,sib200_mt5::dan,dan,mrl,eng,hrl,fra,hrl,0.7848774133710613,0.8639508433730013,0.0915253808807278,0.1923725871646691,0.0,0.0,sib200_mt5,0.1,0.05,63.0,63.0,63.0,0.9264705882352942,1.0,1.0,0.8639508433730013,0.0,"fra,hun,hat,nya,ron,eng,deu,dik,fin,por,ewe,pol,kik,lug,lit,isl,mri,ita,ibo,ind,nld,swe,swh,tgl,wol,vie,yor,tur,arb,ceb,sna,ces,spa,som,ukr,bel,tgk,rus,pes,urd,ckb,azb,hin,npi,mar,ben,bod,tam,kor,asm,tha,tel,heb,ory,jpn,mni,pan,kan,guj,mya,mal,amh,ydd",10.0,0.1470588235294117,1.0,0.0,0.8600451785160157,0.0045207026382858,"eng,deu,nld,swe,pes,ben,jpn,pan,guj,ydd",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::dan,9.15253808807278,0.07907343000194,7.907343000194,86.39508433730013,78.48774133710613
Genetic,sib200_mt5::deu,deu,hrl,eng,hrl,hat,lrl,0.778209845399095,0.9010297158816324,0.1363105659199725,0.0,0.0,0.0,sib200_mt5,0.1,0.05,63.0,63.0,63.0,0.9264705882352942,1.0,1.0,0.9010297158816324,0.0,"hat,fra,hun,nya,ron,eng,dik,dan,fin,pol,ewe,por,kik,lug,lit,isl,mri,ita,ibo,nld,ind,swe,swh,tgl,wol,vie,yor,arb,tur,ceb,sna,ces,som,spa,ukr,bel,rus,tgk,pes,urd,ckb,azb,hin,npi,mar,bod,asm,tam,tel,kor,tha,ben,heb,kan,ory,pan,guj,mya,jpn,mni,amh,mal,ydd",10.0,0.1470588235294117,1.0,0.0,0.8857373069617048,0.0169721471449633,"eng,dan,nld,swe,spa,pes,pan,guj,jpn,ydd",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::deu,13.63105659199725,0.1228198704825374,12.28198704825374,90.10297158816324,77.8209845399095
