method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources,dataset_model,task,model,model_name,metric,metric_name,method_id,method_type,method_group,target_id,performance_loss_pct,raw_oracle_gap,raw_oracle_gap_points,actual_best_performance_points,predicted_performance_points
Random,masakhaner_mt5::bam,bam,lrl,yor,lrl,kin,lrl,0.6474575089715479,0.7389785916820414,0.1238480840184773,0.0,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7389785916820414,0.0,"swa,tsn,sna,nya,pcm,yor,zul,xho,wol,fon,hau,ewe,bbj,luo,lug,mos,ibo,kin",10,0.5555555555555556,1.0,0.0,0.7320926129440425,0.0093182384652378,"swa,sna,nya,yor,zul,xho,ewe,bbj,luo,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::bam,12.38480840184773,0.09152108271049353,9.152108271049354,73.89785916820414,64.74575089715479
Random,masakhaner_mt5::bbj,bbj,lrl,yor,lrl,mos,lrl,0.6482846438873014,0.7066512958862919,0.0825961154232176,0.0,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7066512958862919,0.0,"swa,tsn,pcm,nya,sna,yor,zul,xho,wol,fon,hau,bam,ewe,luo,lug,mos,ibo,kin",10,0.5555555555555556,1.0,0.0,0.6863613714071861,0.0287127818164656,"swa,pcm,nya,yor,zul,xho,bam,ewe,luo,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::bbj,8.25961154232176,0.05836665199899049,5.836665199899049,70.6651295886292,64.82846438873014
Random,masakhaner_mt5::ewe,ewe,lrl,yor,lrl,kin,lrl,0.7354257927702285,0.8068548308948001,0.0885277442602122,0.0,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8068548308948001,0.0,"swa,sna,tsn,nya,pcm,yor,wol,xho,hau,fon,bam,bbj,luo,mos,ibo,kin,lug,zul",10,0.5555555555555556,1.0,0.0,0.7791738348008703,0.0343072818480019,"swa,tsn,nya,yor,wol,xho,bbj,luo,mos,lug",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::ewe,8.85277442602122,0.07142903812457169,7.142903812457169,80.68548308948002,73.54257927702285
Random,masakhaner_mt5::fon,fon,lrl,yor,lrl,hau,lrl,0.6916229705034653,0.7309709476493796,0.0538297414862349,0.3115568232815981,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7309709476493796,0.0,"swa,tsn,nya,sna,pcm,yor,zul,wol,xho,ewe,hau,bam,bbj,luo,mos,ibo,lug,kin",10,0.5555555555555556,1.0,0.0,0.7191398630043864,0.0161854375786603,"swa,nya,sna,yor,zul,wol,bam,bbj,luo,lug",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::fon,5.38297414862349,0.039347977145914315,3.9347977145914315,73.09709476493796,69.16229705034654
Random,masakhaner_mt5::hau,hau,lrl,yor,lrl,kin,lrl,0.7210566429560229,0.8159562972754614,0.1163048249475069,0.0508172228037854,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8159562972754614,0.0,"swa,tsn,sna,nya,pcm,yor,xho,zul,wol,fon,ewe,bam,bbj,lug,mos,luo,ibo,kin",10,0.5555555555555556,0.0,0.0,0.7639342759325071,0.0637558917268727,"swa,sna,nya,yor,xho,zul,bam,bbj,lug,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::hau,11.630482494750689,0.09489965431943848,9.489965431943848,81.59562972754614,72.1056642956023
Random,masakhaner_mt5::ibo,ibo,lrl,xho,lrl,nya,lrl,0.7900444423227735,0.8405692874718217,0.0601078886679427,0.5589894508416399,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8405692874718217,0.0,"tsn,swa,nya,sna,pcm,xho,yor,wol,fon,ewe,hau,bam,bbj,luo,lug,mos,kin,zul",10,0.5555555555555556,1.0,1.0,0.8405692874718217,0.0,"tsn,nya,sna,xho,yor,wol,bam,bbj,luo,kin",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::ibo,6.01078886679427,0.0505248451490482,5.052484514904821,84.05692874718217,79.00444423227735
Random,masakhaner_mt5::kin,kin,lrl,zul,lrl,hau,lrl,0.7240417728272778,0.8021357995781916,0.0973576130026612,0.498481258421031,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8021357995781916,0.0,"swa,tsn,pcm,nya,sna,zul,yor,xho,wol,fon,ewe,hau,bam,bbj,luo,mos,ibo,lug",10,0.5555555555555556,1.0,1.0,0.8021357995781916,0.0,"swa,pcm,nya,zul,yor,xho,hau,bam,bbj,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::kin,9.73576130026612,0.07809402675091381,7.809402675091381,80.21357995781916,72.40417728272777
Random,masakhaner_mt5::lug,lug,lrl,yor,lrl,kin,lrl,0.7205298772490973,0.7750771193651876,0.0703765351256481,0.48517428550326,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7750771193651876,0.0,"swa,tsn,nya,sna,pcm,yor,zul,wol,xho,fon,ewe,hau,bbj,bam,luo,mos,ibo,kin",10,0.5555555555555556,1.0,0.0,0.7662324730119899,0.0114113113807845,"swa,nya,sna,yor,zul,wol,hau,bbj,bam,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::lug,7.037653512564809,0.0545472421160903,5.4547242116090295,77.50771193651876,72.05298772490974
Random,masakhaner_mt5::luo,luo,lrl,yor,lrl,kin,lrl,0.5850672180007596,0.6574446168578308,0.1100889671939051,0.0254086114018927,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.6574446168578308,0.0,"swa,sna,tsn,nya,pcm,yor,zul,wol,xho,hau,fon,bam,ewe,bbj,lug,mos,ibo,kin",10,0.5555555555555556,1.0,0.0,0.6410516471104853,0.0249343736749926,"swa,tsn,nya,yor,zul,wol,bam,ewe,bbj,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::luo,11.00889671939051,0.07237739885707128,7.2377398857071285,65.74446168578308,58.50672180007596
Random,masakhaner_mt5::mos,mos,lrl,yor,lrl,wol,lrl,0.7548883414590704,0.8155419709860664,0.0743721741919182,0.0508172228037854,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8155419709860664,0.0,"swa,sna,tsn,nya,pcm,yor,xho,zul,wol,fon,hau,bam,ewe,bbj,luo,ibo,lug,kin",10,0.5555555555555556,1.0,0.0,0.8053169701038407,0.0125376758597263,"swa,tsn,nya,yor,xho,zul,bam,ewe,bbj,lug",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::mos,7.43721741919182,0.060653629526996045,6.065362952699605,81.55419709860664,75.48883414590703
Random,masakhaner_mt5::nya,nya,lrl,xho,lrl,swa,lrl,0.7787629602924762,0.8366831239437063,0.069225925554974,0.2794947254208199,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8366831239437063,0.0,"tsn,swa,pcm,sna,yor,xho,zul,wol,fon,ewe,bam,bbj,hau,luo,lug,mos,kin,ibo",10,0.5555555555555556,1.0,0.0,0.8073876880154686,0.0350137765300603,"tsn,pcm,sna,xho,zul,wol,bbj,hau,luo,kin",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::nya,6.922592555497401,0.057920163651230094,5.792016365123009,83.66831239437063,77.87629602924761
Random,masakhaner_mt5::pcm,pcm,lrl,xho,lrl,kin,lrl,0.7569447093831497,0.8401349560976066,0.0990200992241439,0.1016344456075708,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8401349560976066,0.0,"swa,tsn,sna,yor,zul,xho,wol,nya,hau,fon,bam,bbj,ewe,luo,mos,lug,ibo,kin",10,0.5555555555555556,1.0,0.0,0.8179671113362444,0.026386052146111,"swa,sna,yor,xho,wol,nya,bbj,ewe,luo,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::pcm,9.90200992241439,0.08319024671445685,8.319024671445685,84.01349560976065,75.69447093831498
Random,masakhaner_mt5::sna,sna,lrl,yor,lrl,nya,lrl,0.7422920553519894,0.8425038788629909,0.1189452369599097,0.0508172228037854,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8425038788629909,0.0,"bam,swa,tsn,nya,pcm,yor,zul,xho,wol,fon,hau,ewe,bbj,luo,lug,mos,ibo,kin",10,0.5555555555555556,1.0,1.0,0.8425038788629909,0.0,"bam,tsn,nya,yor,zul,xho,ewe,bbj,luo,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::sna,11.894523695990971,0.10021182351100155,10.021182351100155,84.2503878862991,74.22920553519894
Random,masakhaner_mt5::swa,swa,lrl,yor,lrl,nya,lrl,0.6325184019185999,0.8105279224840921,0.2196217004096931,0.2540861140189272,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8105279224840921,0.0,"sna,tsn,nya,pcm,xho,yor,zul,wol,fon,ewe,hau,bam,bbj,mos,luo,ibo,lug,kin",10,0.5555555555555556,1.0,1.0,0.8105279224840921,0.0,"sna,nya,pcm,yor,zul,wol,bam,bbj,mos,lug",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::swa,21.96217004096931,0.17800952056549224,17.800952056549225,81.0527922484092,63.25184019185998
Random,masakhaner_mt5::tsn,tsn,lrl,zul,lrl,swa,lrl,0.7269339172876698,0.7972090877628663,0.0881514919409701,0.1270430570094636,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7972090877628663,0.0,"sna,swa,nya,pcm,xho,zul,yor,wol,mos,fon,hau,bam,ewe,bbj,luo,lug,kin,ibo",10,0.5555555555555556,1.0,0.0,0.7697370956878027,0.0344602093688566,"sna,nya,pcm,zul,yor,wol,bam,ewe,bbj,kin",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::tsn,8.81514919409701,0.07027517047519649,7.027517047519649,79.72090877628662,72.69339172876698
Random,masakhaner_mt5::wol,wol,lrl,yor,lrl,fon,lrl,0.63757061767703,0.7345725591763003,0.1320522258659398,0.0,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7345725591763003,0.0,"swa,tsn,pcm,nya,sna,yor,zul,xho,ewe,fon,hau,bbj,bam,luo,mos,ibo,lug,kin",10,0.5555555555555556,1.0,0.0,0.7231750891078579,0.0155157852360054,"swa,pcm,nya,yor,zul,xho,bbj,bam,luo,lug",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::wol,13.20522258659398,0.09700194149927022,9.700194149927022,73.45725591763002,63.75706176770301
