method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources,dataset_model,task,model,model_name,metric,metric_name,method_id,method_type,method_group,target_id,performance_loss_pct,raw_oracle_gap,raw_oracle_gap_points,actual_best_performance_points,predicted_performance_points
Genetic,sib200_mt5::ace,ace,lrl,min,lrl,kea,lrl,0.0782312925170068,0.7574464850344794,0.8967170697036826,0.0,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,0.0,0.7299464885085559,0.0363061906936853,"oci,ron,eng,fij,eus,ltz,kmr,ind,mri,jav,nld,ibo,min,tgl,ban,sun,azj,zsm,tur,cat,ceb,bug,spa,bjn,rus,mkd,bul,pes,apc,ckb,azb,arz,mai,zho,yue,bod,kat,tel,kor,jpn,guj,hye,ell,kan",10.0,0.0571428571428571,1.0,0.0,0.7271470685216047,0.0400020557379647,"fij,ind,jav,min,ban,sun,ceb,bug,bjn,jpn",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::ace,89.67170697036826,0.6792151925174726,67.92151925174727,75.74464850344795,7.8231292517006805
Genetic,sib200_mt5::acm,acm,lrl,arz,mrl,ajp,lrl,0.853709540663625,0.8935451219497385,0.0445814993642303,0.2286775026170345,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,1.0,0.8935451219497385,0.0,"spa,yor,oci,mlt,taq,sun,slv,eus,eng,dik,cat,ces,jav,ibo,kab,kmr,azj,arb,bul,rus,mkd,ary,arz,ars,azb,ajp,acq,aeb,apc,pes,mai,heb,ell,kor,kat,kan,zho,yue,hye,jpn,bod,tel,tir,amh",10.0,0.0571428571428571,1.0,1.0,0.8935451219497385,0.0,"mlt,arb,ary,arz,ars,ajp,acq,aeb,apc,amh",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::acm,4.45814993642303,0.03983558128611342,3.983558128611342,89.35451219497385,85.3709540663625
Genetic,sib200_mt5::acq,acq,lrl,arz,mrl,prs,lrl,0.866405904856694,0.8923683818101382,0.0290939005489865,0.1282483914431127,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,0.0,0.8847354501533908,0.008553565783297,"spa,oci,yor,mlt,taq,sun,dik,eus,eng,cat,ces,jav,ibo,hun,kab,kmr,azj,arb,bul,rus,ary,arz,ars,azb,ajp,aeb,apc,pes,acm,mai,ell,heb,kor,yue,kan,kat,zho,hye,jpn,bod,tzm,tel,tir,amh",10.0,0.0571428571428571,1.0,0.0,0.8802815865057589,0.013544625236342,"mlt,arb,ary,arz,ars,ajp,aeb,apc,acm,amh",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::acq,2.90939005489865,0.025962476953444225,2.5962476953444225,89.23683818101382,86.6405904856694
Genetic,sib200_mt5::aeb,aeb,lrl,mlt,lrl,khm,lrl,0.8008948209059991,0.8556947878621628,0.0640414873778465,0.3006605192311254,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,0.0,0.8479749791680397,0.0090216848385976,"spa,yor,oci,mlt,taq,sun,slv,eus,eng,cat,ces,jav,hun,ibo,kab,kmr,azj,arb,bul,rus,mkd,apc,ars,ary,arz,azb,acm,ajp,acq,pes,mai,heb,zho,kor,yue,kan,kat,hye,jpn,bod,tel,tir,amh,ell",10.0,0.0571428571428571,1.0,0.0,0.8447656674562302,0.0127722180396091,"mlt,arb,apc,ars,ary,arz,acm,ajp,heb,amh",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::aeb,6.4041487377846495,0.05479996695616374,5.479996695616373,85.56947878621628,80.0894820905999
Genetic,sib200_mt5::afr,afr,mrl,nld,mrl,ban,lrl,0.1793309418629111,0.8799424803178828,0.7962015178558863,0.0,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,0.0,0.8710871365179246,0.010063548468258,"oci,ron,eng,deu,dan,eus,ltz,lim,lit,kmr,jav,nld,sun,azj,swe,slv,cat,ces,scn,spa,rus,bul,mkd,snd,pes,pbt,kas,ckb,npi,bho,awa,mai,ben,zho,kat,kor,tel,ory,jpn,pan,guj,hye,ydd,ell",10.0,0.0571428571428571,1.0,0.0,0.8638178833607563,0.0183246033891913,"eng,dan,ltz,lim,nld,swe,pes,jpn,hye,ydd",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::afr,79.62015178558863,0.7006115384549717,70.06115384549717,87.99424803178827,17.93309418629111
Genetic,sib200_mt5::ajp,ajp,lrl,apc,lrl,glg,mrl,0.8368366621476943,0.872195525464832,0.0405400650253203,0.133696543468349,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,0.0,0.8697739351399546,0.0027764305756864,"spa,yor,oci,mlt,taq,sun,slv,eus,eng,dik,ces,cat,jav,ibo,kab,kmr,azj,arb,bul,rus,mkd,ars,ary,arz,azb,aeb,acm,acq,apc,pes,mai,ell,amh,heb,kor,kan,kat,yue,hye,zho,jpn,bod,tel,tir",10.0,0.0571428571428571,1.0,0.0,0.8697739351399546,0.0027764305756864,"mlt,arb,ars,ary,arz,aeb,acm,apc,amh,heb",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::ajp,4.05400650253203,0.03535886331713778,3.535886331713778,87.2195525464832,83.68366621476943
Genetic,sib200_mt5::als,als,lrl,pes,mrl,khm,lrl,0.821215141860251,0.882775594364977,0.0697351092369169,0.0,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,0.0,0.8555472873989091,0.0308439734173378,"oci,eng,dan,ltz,lim,lit,kmr,jav,nld,sun,slv,cat,ces,spa,ukr,bel,rus,bul,mkd,tgk,snd,pes,prs,pbt,kas,ckb,hin,npi,bho,awa,mar,mai,kat,ben,zho,kor,tel,ory,jpn,pan,guj,hye,ell,ydd",10.0,0.0571428571428571,1.0,0.0,0.842379847449323,0.0457599271813949,"eng,kmr,rus,pes,ckb,mai,ben,jpn,guj,hye",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::als,6.97351092369169,0.06156045250472597,6.156045250472597,88.2775594364977,82.1215141860251
Genetic,sib200_mt5::amh,amh,lrl,apc,lrl,kor,mrl,0.7014474732336062,0.7904340141802447,0.1125793416657632,0.1923725871646691,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,1.0,0.7904340141802447,0.0,"spa,ces,cat,slv,sun,arb,knc,azj,kmr,oci,kab,mlt,hun,ibo,jav,yor,eng,eus,mkd,rus,bul,ajp,pes,aeb,acm,acq,apc,ary,arz,ars,azb,mai,kat,zho,kor,ell,tel,kan,jpn,bod,yue,tir,hye,heb",10.0,0.0571428571428571,1.0,0.0,0.7743334317277774,0.0203692935319404,"mlt,aeb,acm,apc,ary,arz,ars,jpn,tir,heb",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::amh,11.25793416657632,0.08898654094663849,8.898654094663849,79.04340141802447,70.14474732336062
Genetic,sib200_mt5::apc,apc,lrl,ajp,lrl,spa,hrl,0.8881898990301522,0.894007072009857,0.0065068534263682,0.4894171030948472,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,1.0,0.894007072009857,0.0,"spa,oci,yor,mlt,taq,sun,slv,dik,eus,eng,cat,ces,jav,ibo,kab,kmr,azj,arb,bul,rus,mkd,arz,ary,ars,azb,ajp,acq,aeb,acm,pes,mai,heb,kor,yue,kat,kan,hye,zho,jpn,ell,bod,tel,tir,amh",10.0,0.0571428571428571,1.0,0.0,0.8881898990301522,0.0065068534263682,"mlt,arb,arz,ary,ars,ajp,aeb,acm,heb,amh",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::apc,0.65068534263682,0.005817172979704743,0.5817172979704743,89.40070720098569,88.81898990301522
Genetic,sib200_mt5::arb,arb,hrl,apc,lrl,ell,mrl,0.2794325744078174,0.9049562680477604,0.6912198033495803,0.0,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,1.0,0.9049562680477604,0.0,"hun,oci,eng,dik,eus,kmr,jav,ibo,mlt,kab,taq,azj,sun,yor,cat,ces,spa,rus,mkd,bul,pes,acm,apc,aeb,acq,ajp,azb,arz,ary,ars,mai,zho,bod,kat,tir,kor,tel,jpn,heb,hye,amh,ell,yue,kan",10.0,0.0571428571428571,1.0,0.0,0.881131148420297,0.0263273712428786,"mlt,acm,apc,aeb,ajp,arz,ary,ars,heb,amh",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::arb,69.12198033495804,0.6255236936399431,62.55236936399431,90.49562680477604,27.94325744078174
Genetic,sib200_mt5::ars,ars,lrl,arz,mrl,urd,mrl,0.8781614005932553,0.8949684991179769,0.0187795420076635,0.0,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,0.0,0.8948495187086787,0.000132943683957,"yor,spa,oci,mlt,taq,sun,dik,eus,eng,ces,cat,jav,hun,ibo,kab,kmr,azj,arb,bul,rus,mkd,apc,arz,ary,azb,acm,ajp,acq,aeb,pes,mai,heb,amh,zho,kor,hye,kat,kan,yue,jpn,tzm,tel,tir,ell",10.0,0.0571428571428571,1.0,0.0,0.8789680685032986,0.0178782053563308,"mlt,arb,apc,arz,ary,acm,ajp,acq,aeb,amh",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::ars,1.8779542007663501,0.01680709852472162,1.680709852472162,89.4968499117977,87.81614005932553
Genetic,sib200_mt5::ary,ary,lrl,aeb,lrl,arz,mrl,0.8290152179261544,0.8675633222717974,0.0444326118405987,0.2540861140189272,0.0,1.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,1.0,0.8675633222717974,0.0,"oci,spa,yor,sun,mlt,taq,slv,eus,eng,cat,ces,jav,ibo,hun,kab,kmr,azj,arb,bul,rus,mkd,apc,arz,ars,azb,ajp,acq,acm,aeb,pes,mai,heb,kor,kat,yue,zho,kan,hye,jpn,bod,tel,tir,ell,amh",10.0,0.0571428571428571,1.0,1.0,0.8675633222717974,0.0,"mlt,arb,apc,arz,ars,ajp,acq,acm,aeb,amh",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::ary,4.44326118405987,0.03854810434564304,3.854810434564304,86.75633222717974,82.90152179261544
Genetic,sib200_mt5::arz,arz,mrl,apc,lrl,spa,hrl,0.8306328633718377,0.8765571518034572,0.0523916647501344,0.0,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,1.0,0.8765571518034572,0.0,"spa,yor,oci,mlt,sun,taq,dik,eus,eng,cat,ces,jav,ibo,hun,kab,kmr,azj,arb,bul,rus,mkd,ary,ars,azb,ajp,acq,aeb,apc,pes,acm,mai,heb,kor,kat,kan,yue,zho,hye,jpn,tzm,tel,tir,amh,ell",10.0,0.0571428571428571,1.0,0.0,0.8750335036662908,0.0017382188189686,"mlt,arb,ary,ars,ajp,acq,aeb,apc,acm,amh",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::arz,5.239166475013439,0.04592428843161944,4.592428843161944,87.65571518034572,83.06328633718377
Genetic,sib200_mt5::asm,asm,lrl,ben,mrl,tam,mrl,0.7323342214649028,0.7743092020674748,0.0542095851250315,0.0,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,0.0,0.7708021210298632,0.0045293030590974,"spa,ces,scn,cat,slv,lim,ltz,lit,sun,kmr,oci,nld,jav,ron,dan,als,eng,mkd,bul,rus,tgk,pbt,pes,kas,snd,ckb,urd,mar,mai,awa,bho,mag,npi,hin,kat,sin,ell,ben,pan,ydd,ory,guj,jpn,hye",10.0,0.0571428571428571,1.0,0.0,0.7507984522335482,0.0303635159845068,"kmr,pes,kas,mai,awa,bho,npi,ben,ory,guj",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::asm,5.42095851250315,0.04197498060257199,4.197498060257199,77.43092020674747,73.23342214649028
Genetic,sib200_mt5::ast,ast,lrl,cat,mrl,ltz,lrl,0.851864369454934,0.8539808555497769,0.0024783765128789,0.457355005234069,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,1.0,0.8539808555497769,0.0,"glg,fra,fur,oci,hat,ron,eng,por,ltz,lmo,kea,lij,kmr,lit,ita,nld,jav,srd,sun,slv,cat,ces,scn,spa,rus,mkd,bul,pes,kas,ckb,bho,npi,awa,mai,zho,kat,kor,tel,ben,guj,hye,jpn,ell,yue",10.0,0.0571428571428571,1.0,0.0,0.851864369454934,0.0024783765128789,"fra,fur,oci,ron,por,lmo,kea,lij,cat,spa",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::ast,0.24783765128788998,0.002116486094842829,0.21164860948428288,85.39808555497768,85.1864369454934
Genetic,sib200_mt5::awa,awa,lrl,mai,lrl,kor,mrl,0.5471077741863452,0.8384478471906209,0.3474754857806196,0.0,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,0.0,0.8375089844777915,0.0011197628045384,"slv,oci,ces,cat,als,sun,eng,dan,ron,swe,spa,jav,lit,ltz,lim,kmr,nld,bul,tgk,mkd,rus,urd,snd,pes,pbt,ckb,kas,hin,mag,mai,mar,npi,bho,ydd,pan,guj,ory,ben,asm,kat,ell,jpn,hye,sin",10.0,0.0571428571428571,1.0,0.0,0.8315059190238531,0.0082794990648829,"kmr,snd,pes,hin,mai,npi,bho,pan,guj,ben",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::awa,34.74754857806196,0.2913400730042758,29.134007300427577,83.84478471906209,54.710777418634514
Genetic,sib200_mt5::ayr,ayr,lrl,jpn,hrl,pag,lrl,0.4042726847476344,0.4968109457263104,0.1862645373953871,0.0,0.0,0.0,sib200_mt5,0.1,0.05,39.0,39.0,39.0,0.2228571428571428,0.0,0.0,0.450620009332551,0.0929748766429266,"oci,nus,eng,dik,eus,ltz,kmr,jav,ibo,nld,azj,sun,wol,yor,tur,tum,cat,sna,bug,spa,khk,rus,bul,pes,ckb,apc,azb,arz,mai,zho,kat,yue,bod,kor,tel,jpn,guj,hye,ell",10.0,0.0571428571428571,0.0,0.0,0.4469984019415616,0.100264585982351,"eng,eus,jav,azj,sun,pes,kat,jpn,hye,ell",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::ayr,18.62645373953871,0.09253826097867601,9.253826097867602,49.68109457263104,40.42726847476344
Genetic,sib200_mt5::azb,azb,lrl,azj,lrl,war,lrl,0.5746170749513482,0.7407442483211427,0.2242706220754503,0.0,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,0.0,0.7303667720393385,0.0140095266420551,"spa,wol,yor,oci,tum,nld,sun,uzn,ltz,tur,crh,eus,eng,cat,ces,bug,jav,ibo,hun,kac,kmr,azj,tat,bul,rus,bak,kaz,kir,mkd,khk,apc,arz,pes,mai,lao,kor,kat,yue,hye,zho,jpn,bod,tel,ell",10.0,0.0571428571428571,0.0,0.0,0.6987214428952414,0.0567305186927117,"uzn,tur,crh,jav,azj,tat,bak,kaz,kir,jpn",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::azb,22.427062207545028,0.16612717336979455,16.612717336979454,74.07442483211427,57.46170749513482
Genetic,sib200_mt5::azj,azj,lrl,azb,lrl,arz,mrl,0.8185147942532449,0.8925409470195861,0.082938662941496,0.0,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,1.0,0.8925409470195861,0.0,"hun,oci,eng,eus,ltz,kmr,jav,ibo,nld,kac,sun,wol,yor,tur,tum,uzn,cat,bug,crh,ces,spa,kaz,kir,khk,rus,tat,bak,bul,mkd,pes,apc,azb,arz,mai,kat,yue,bod,zho,lao,kor,tel,jpn,hye,ell",10.0,0.0571428571428571,0.0,0.0,0.8185147942532449,0.082938662941496,"jav,tur,uzn,crh,kaz,kir,tat,bak,azb,jpn",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::azj,8.2938662941496,0.07402615276634117,7.402615276634117,89.2540947019586,81.8514794253245
Genetic,sib200_mt5::bak,bak,lrl,tat,lrl,kor,mrl,0.7413178816173974,0.8241415904341088,0.1004969410330144,0.0,0.0,0.0,sib200_mt5,0.1,0.05,44.0,44.0,44.0,0.2514285714285714,1.0,1.0,0.8241415904341088,0.0,"kmr,eus,wol,crh,tur,eng,ltz,oci,ces,uzn,nld,bug,jav,sna,hun,yor,spa,ibo,azj,sun,tum,cat,kac,rus,tat,mkd,bul,kaz,kir,arz,azb,apc,pes,mai,zho,yue,bod,jpn,ell,hye,lao,kat,kor,tel",10.0,0.0571428571428571,0.0,0.0,0.7689145748449218,0.0670115623701223,"crh,tur,uzn,jav,azj,tat,kaz,kir,azb,jpn",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::bak,10.04969410330144,0.08282370881671142,8.282370881671142,82.41415904341089,74.13178816173975
Genetic,sib200_mt5::bam,bam,lrl,dyu,lrl,lus,lrl,0.3456680363701236,0.452068009044547,0.2353627563677895,0.0,0.0,0.0,sib200_mt5,0.1,0.05,39.0,39.0,39.0,0.2228571428571428,0.0,0.0,0.4125183621936192,0.0874860553271987,"hun,oci,nus,eng,dik,dyu,eus,kmr,ibo,jav,azj,sun,yor,tur,cat,bug,slv,ces,spa,khk,mkd,bul,rus,pes,apc,ckb,azb,arz,mai,kat,bod,zho,yue,kor,tel,hye,jpn,ell,kan",10.0,0.0571428571428571,0.0,0.0,0.3582423982351283,0.2075475568548206,"eng,dyu,jav,sun,pes,kat,tel,hye,jpn,ell",sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,sib200_mt5::bam,23.53627563677895,0.10639997267442342,10.639997267442341,45.2068009044547,34.56680363701236
