dataset,task,model,metric,method,method_group,outcome,mean,ci_lower,ci_upper,n_units
sib200_mt5,sib200,mt5,f1_score,always_eng,baseline,performance_loss_pct,21.14753255842502,19.213263197851173,23.247929181097515,185
sib200_mt5,sib200,mt5,f1_score,always_eng,baseline,raw_oracle_gap_points,14.970015235471639,13.909089502139235,16.19257647339643,185
sib200_mt5,sib200,mt5,f1_score,always_eng,baseline,actual_best_performance_points,76.73461715317346,74.51775356722482,78.83128982633714,185
sib200_mt5,sib200,mt5,f1_score,always_eng,baseline,predicted_performance_points,61.76460191770182,59.11403203084972,64.32077584563234,185
sib200_mt5,sib200,mt5,f1_score,composite_equal,composite,performance_loss_pct,15.891861801232862,13.25699052554109,18.744047802627158,185
sib200_mt5,sib200,mt5,f1_score,composite_equal,composite,raw_oracle_gap_points,11.360488714509001,9.340229783104137,13.620851494346999,185
sib200_mt5,sib200,mt5,f1_score,composite_equal,composite,actual_best_performance_points,75.63570234905929,73.18481464068671,77.95201670972241,185
sib200_mt5,sib200,mt5,f1_score,composite_equal,composite,predicted_performance_points,64.27521363455028,61.16213202462745,67.31060563031154,185
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,trained,performance_loss_pct,16.637389634886308,13.92195406277413,19.57193570781293,185
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,trained,raw_oracle_gap_points,11.509671254947477,9.636071352243716,13.585411495765785,185
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,trained,actual_best_performance_points,75.63570234905929,73.18481464068671,77.95201670972241,185
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,trained,predicted_performance_points,64.12603109411181,60.916842341839406,67.18474948768205,185
sib200_mt5,sib200,mt5,f1_score,mlp_listnet,trained,performance_loss_pct,14.759411544863223,12.205576027638225,17.61905475018121,185
sib200_mt5,sib200,mt5,f1_score,mlp_listnet,trained,raw_oracle_gap_points,10.228085057251581,8.462231844833727,12.177945143935794,185
sib200_mt5,sib200,mt5,f1_score,mlp_listnet,trained,actual_best_performance_points,75.63570234905929,73.18481464068671,77.95201670972241,185
sib200_mt5,sib200,mt5,f1_score,mlp_listnet,trained,predicted_performance_points,65.40761729180771,62.241889430737125,68.40602750289474,185
sib200_mt5,sib200,mt5,f1_score,rrf_equal,composite,performance_loss_pct,15.228708710659115,12.744303843061708,17.951688467913673,185
sib200_mt5,sib200,mt5,f1_score,rrf_equal,composite,raw_oracle_gap_points,10.788020867450562,8.952439897836664,12.813681272612037,185
sib200_mt5,sib200,mt5,f1_score,rrf_equal,composite,actual_best_performance_points,75.63570234905929,73.18481464068671,77.95201670972241,185
sib200_mt5,sib200,mt5,f1_score,rrf_equal,composite,predicted_performance_points,64.84768148160872,61.77877081596701,67.78294303496232,185
sib200_mt5,sib200,mt5,f1_score,single_distals_asjp,individual,performance_loss_pct,15.807374467461107,13.14985039179376,18.737657836011735,185
sib200_mt5,sib200,mt5,f1_score,single_distals_asjp,individual,raw_oracle_gap_points,11.21750622097845,9.278481908590056,13.417096141925526,185
sib200_mt5,sib200,mt5,f1_score,single_distals_asjp,individual,actual_best_performance_points,75.63570234905929,73.18481464068671,77.95201670972241,185
sib200_mt5,sib200,mt5,f1_score,single_distals_asjp,individual,predicted_performance_points,64.41819612808084,61.22189519453247,67.43241360335489,185
sib200_mt5,sib200,mt5,f1_score,single_distals_wiki_size,individual,performance_loss_pct,18.344714263838313,15.63703756992778,21.250445647802547,185
sib200_mt5,sib200,mt5,f1_score,single_distals_wiki_size,individual,raw_oracle_gap_points,13.041472900985811,11.020917985160086,15.231554051166295,185
sib200_mt5,sib200,mt5,f1_score,single_distals_wiki_size,individual,actual_best_performance_points,75.63570234905929,73.18481464068671,77.95201670972241,185
sib200_mt5,sib200,mt5,f1_score,single_distals_wiki_size,individual,predicted_performance_points,62.59422944807347,59.444392452517626,65.64713019662706,185
sib200_mt5,sib200,mt5,f1_score,single_new_gen,individual,performance_loss_pct,17.407030485080764,14.645797143550935,20.381609120126406,185
sib200_mt5,sib200,mt5,f1_score,single_new_gen,individual,raw_oracle_gap_points,12.642565668544648,10.507708389086243,14.931779853629207,185
sib200_mt5,sib200,mt5,f1_score,single_new_gen,individual,actual_best_performance_points,75.63570234905929,73.18481464068671,77.95201670972241,185
sib200_mt5,sib200,mt5,f1_score,single_new_gen,individual,predicted_performance_points,62.99313668051464,59.84284262850083,66.02212653364218,185
sib200_mt5,sib200,mt5,f1_score,single_new_geo,individual,performance_loss_pct,14.735394997913229,12.396555560509546,17.275576603817232,185
sib200_mt5,sib200,mt5,f1_score,single_new_geo,individual,raw_oracle_gap_points,10.314991934135984,8.609023126187976,12.196304288701347,185
sib200_mt5,sib200,mt5,f1_score,single_new_geo,individual,actual_best_performance_points,75.63570234905929,73.18481464068671,77.95201670972241,185
sib200_mt5,sib200,mt5,f1_score,single_new_geo,individual,predicted_performance_points,65.3207104149233,62.266605873129,68.22030075530016,185
sib200_mt5,sib200,mt5,f1_score,single_new_typ,individual,performance_loss_pct,17.36471419005596,14.6672747582947,20.2546050079169,185
