dataset,task,model,metric,method,method_group,target_resource_level,n_targets,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,large_enough_for_main_ctc
masakhaner_mt5,masakhaner,mt5,f1_score,composite_equal,composite,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mt5,f1_score,lightgbm_lambdarank,trained,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mt5,f1_score,mlp_listnet,trained,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mt5,f1_score,rrf_equal,composite,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mt5,f1_score,single_distals_asjp,individual,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mt5,f1_score,single_distals_wiki_size,individual,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mt5,f1_score,single_new_gen,individual,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mt5,f1_score,single_new_geo,individual,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mt5,f1_score,single_new_typ,individual,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mt5,f1_score,single_script,individual,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,composite_equal,composite,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,lightgbm_lambdarank,trained,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,mlp_listnet,trained,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,rrf_equal,composite,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_distals_asjp,individual,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_distals_wiki_size,individual,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_new_gen,individual,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_new_geo,individual,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_new_typ,individual,lrl,19,18.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,single_script,individual,lrl,19,18.0,1.0,1.0,1.0,0.0,False
opus100_mt5,opus100,mt5,bleu,composite_equal,composite,hrl,6,23.666666666666668,0.6396396396396397,0.8333333333333334,0.8333333333333334,0.03665481119137793,True
opus100_mt5,opus100,mt5,bleu,composite_equal,composite,lrl,41,24.29268292682927,0.6392811296534018,0.9512195121951219,0.8292682926829268,0.010576444712783371,True
opus100_mt5,opus100,mt5,bleu,composite_equal,composite,mrl,40,24.25,0.6518492176386913,0.9,0.85,0.020256923260300735,True
opus100_mt5,opus100,mt5,bleu,lightgbm_lambdarank,trained,hrl,6,31.333333333333332,0.8468468468468467,0.8333333333333334,0.8333333333333334,0.025447246583252,True
opus100_mt5,opus100,mt5,bleu,lightgbm_lambdarank,trained,lrl,41,31.390243902439025,0.8260590500641849,1.0,0.9512195121951219,0.0011369115660195268,True
opus100_mt5,opus100,mt5,bleu,lightgbm_lambdarank,trained,mrl,40,31.6,0.8493598862019915,0.95,0.925,0.006289736259763923,True
opus100_mt5,opus100,mt5,bleu,mlp_listnet,trained,hrl,6,29.166666666666668,0.7882882882882883,0.8333333333333334,0.8333333333333334,0.03552576411628415,True
opus100_mt5,opus100,mt5,bleu,mlp_listnet,trained,lrl,41,30.902439024390244,0.813222079589217,0.975609756097561,0.8536585365853658,0.004776848259717685,True
opus100_mt5,opus100,mt5,bleu,mlp_listnet,trained,mrl,40,30.525,0.820572546230441,0.95,0.925,0.0128749173709381,True
opus100_mt5,opus100,mt5,bleu,rrf_equal,composite,hrl,6,25.333333333333332,0.6846846846846847,0.8333333333333334,0.8333333333333334,0.03552576411628415,True
opus100_mt5,opus100,mt5,bleu,rrf_equal,composite,lrl,41,25.902439024390244,0.6816431322207959,0.9512195121951219,0.8048780487804879,0.012258168257156246,True
opus100_mt5,opus100,mt5,bleu,rrf_equal,composite,mrl,40,26.2,0.7042674253200569,0.925,0.9,0.01742526872529469,True
opus100_mt5,opus100,mt5,bleu,single_distals_asjp,individual,hrl,6,25.0,0.6756756756756758,0.8333333333333334,0.6666666666666666,0.04099185991820615,True
opus100_mt5,opus100,mt5,bleu,single_distals_asjp,individual,lrl,41,25.0,0.6578947368421052,0.9512195121951219,0.8536585365853658,0.008965858987231443,True
opus100_mt5,opus100,mt5,bleu,single_distals_asjp,individual,mrl,40,24.975,0.6713015647226174,0.9,0.9,0.021035861482755512,True
opus100_mt5,opus100,mt5,bleu,single_distals_wiki_size,individual,hrl,6,36.5,0.9864864864864865,1.0,1.0,0.0,True
opus100_mt5,opus100,mt5,bleu,single_distals_wiki_size,individual,lrl,41,37.31707317073171,0.982028241335045,0.975609756097561,0.926829268292683,0.0163232951302273,True
opus100_mt5,opus100,mt5,bleu,single_distals_wiki_size,individual,mrl,40,36.8,0.9892603129445234,1.0,1.0,0.0,True
opus100_mt5,opus100,mt5,bleu,single_new_gen,individual,hrl,6,30.333333333333332,0.8198198198198199,0.8333333333333334,0.8333333333333334,0.025447246583252,True
opus100_mt5,opus100,mt5,bleu,single_new_gen,individual,lrl,41,31.048780487804876,0.8170731707317073,1.0,0.926829268292683,0.0017300352661053465,True
opus100_mt5,opus100,mt5,bleu,single_new_gen,individual,mrl,40,30.975,0.8327169274537696,0.975,0.95,0.0032135300640116727,True
opus100_mt5,opus100,mt5,bleu,single_new_geo,individual,hrl,6,29.333333333333332,0.7927927927927928,1.0,1.0,0.0,True
opus100_mt5,opus100,mt5,bleu,single_new_geo,individual,lrl,41,29.414634146341463,0.7740693196405648,0.9512195121951219,0.8780487804878049,0.014219107488452776,True
opus100_mt5,opus100,mt5,bleu,single_new_geo,individual,mrl,40,29.4,0.7903271692745377,0.9,0.85,0.02814901950260215,True
opus100_mt5,opus100,mt5,bleu,single_new_typ,individual,hrl,6,37.0,1.0,1.0,1.0,0.0,True
opus100_mt5,opus100,mt5,bleu,single_new_typ,individual,lrl,41,37.0,0.9736842105263157,1.0,1.0,0.0,True
opus100_mt5,opus100,mt5,bleu,single_new_typ,individual,mrl,40,37.0,0.9947368421052631,1.0,1.0,0.0,True
opus100_mt5,opus100,mt5,bleu,single_script,individual,hrl,6,34.5,0.9324324324324325,0.8333333333333334,0.8333333333333334,0.024859423245173415,True
opus100_mt5,opus100,mt5,bleu,single_script,individual,lrl,41,34.4390243902439,0.9062901155327344,0.975609756097561,0.9512195121951219,0.01610474011583052,True
opus100_mt5,opus100,mt5,bleu,single_script,individual,mrl,40,34.85,0.9369310099573258,0.95,0.925,0.007240392264058257,True
sib200_mt5,sib200,mt5,f1_score,composite_equal,composite,hrl,7,37.0,0.21142857142857135,1.0,0.42857142857142855,0.006227263820328358,True
sib200_mt5,sib200,mt5,f1_score,composite_equal,composite,lrl,136,48.088235294117645,0.27467818945760114,0.9117647058823529,0.40441176470588236,0.017412761606634148,True
sib200_mt5,sib200,mt5,f1_score,composite_equal,composite,mrl,42,46.30952380952381,0.264625850340136,1.0,0.4523809523809524,0.007068138477326508,True
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,trained,hrl,7,30.142857142857142,0.1722448979591836,1.0,0.5714285714285714,0.0014494342234491427,True
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,trained,lrl,136,30.080882352941178,0.17182176279602746,0.9044117647058824,0.3235294117647059,0.019993862956963454,True
sib200_mt5,sib200,mt5,f1_score,lightgbm_lambdarank,trained,mrl,42,31.714285714285715,0.18122448979591832,1.0,0.5,0.006599188938471175,True
sib200_mt5,sib200,mt5,f1_score,mlp_listnet,trained,hrl,7,29.428571428571427,0.1681632653061224,1.0,0.2857142857142857,0.0063559389904436995,True
sib200_mt5,sib200,mt5,f1_score,mlp_listnet,trained,lrl,136,34.86764705882353,0.19917136172650873,0.8970588235294118,0.35294117647058826,0.01788797690260737,True
sib200_mt5,sib200,mt5,f1_score,mlp_listnet,trained,mrl,42,33.07142857142857,0.18897959183673466,1.0,0.38095238095238093,0.007198223893589007,True
sib200_mt5,sib200,mt5,f1_score,rrf_equal,composite,hrl,7,41.57142857142857,0.2375510204081632,1.0,0.2857142857142857,0.006907086115484058,True
sib200_mt5,sib200,mt5,f1_score,rrf_equal,composite,lrl,136,52.61764705882353,0.300556961420932,0.9191176470588235,0.41911764705882354,0.015629907732477653,True
sib200_mt5,sib200,mt5,f1_score,rrf_equal,composite,mrl,42,48.476190476190474,0.2770068027210884,1.0,0.5476190476190477,0.005812192629881342,True
sib200_mt5,sib200,mt5,f1_score,single_distals_asjp,individual,hrl,7,47.0,0.26857142857142857,1.0,0.42857142857142855,0.004681365423028899,True
sib200_mt5,sib200,mt5,f1_score,single_distals_asjp,individual,lrl,136,49.43382352941177,0.2823651165011459,0.9044117647058824,0.3897058823529412,0.015749263474778365,True
sib200_mt5,sib200,mt5,f1_score,single_distals_asjp,individual,mrl,42,46.61904761904762,0.2663945578231292,1.0,0.40476190476190477,0.008132290176345695,True
sib200_mt5,sib200,mt5,f1_score,single_distals_wiki_size,individual,hrl,7,38.0,0.2171428571428571,1.0,0.5714285714285714,0.005469391135723871,True
sib200_mt5,sib200,mt5,f1_score,single_distals_wiki_size,individual,lrl,136,39.845588235294116,0.22759525401069516,0.8602941176470589,0.2426470588235294,0.02638153418041304,True
sib200_mt5,sib200,mt5,f1_score,single_distals_wiki_size,individual,mrl,42,40.95238095238095,0.23401360544217684,1.0,0.47619047619047616,0.007313331475712594,True
sib200_mt5,sib200,mt5,f1_score,single_new_gen,individual,hrl,7,63.42857142857143,0.3624489795918367,1.0,0.42857142857142855,0.003612272248462671,True
sib200_mt5,sib200,mt5,f1_score,single_new_gen,individual,lrl,136,72.68382352941177,0.4151489686783804,0.9191176470588235,0.5147058823529411,0.014434534299924093,True
sib200_mt5,sib200,mt5,f1_score,single_new_gen,individual,mrl,42,69.38095238095238,0.3964625850340136,1.0,0.4523809523809524,0.005175908198105638,True
sib200_mt5,sib200,mt5,f1_score,single_new_geo,individual,hrl,7,34.42857142857143,0.19673469387755096,1.0,0.14285714285714285,0.0068073734867804,True
sib200_mt5,sib200,mt5,f1_score,single_new_geo,individual,lrl,136,42.18382352941177,0.2409441844919786,0.8970588235294118,0.3235294117647059,0.023573404570143126,True
sib200_mt5,sib200,mt5,f1_score,single_new_geo,individual,mrl,42,41.166666666666664,0.23523809523809522,0.9761904761904762,0.47619047619047616,0.009068763975447055,True
sib200_mt5,sib200,mt5,f1_score,single_new_typ,individual,hrl,7,41.0,0.2342857142857143,1.0,0.5714285714285714,0.0061512768850964005,True
sib200_mt5,sib200,mt5,f1_score,single_new_typ,individual,lrl,136,41.0735294117647,0.2346170741023682,0.9117647058823529,0.25,0.02184351749484914,True
sib200_mt5,sib200,mt5,f1_score,single_new_typ,individual,mrl,42,41.07142857142857,0.23469387755102042,1.0,0.35714285714285715,0.00929737149254796,True
sib200_mt5,sib200,mt5,f1_score,single_script,individual,hrl,7,27.714285714285715,0.15836734693877544,1.0,0.42857142857142855,0.008976546799319715,True
sib200_mt5,sib200,mt5,f1_score,single_script,individual,lrl,136,29.191176470588236,0.1667362967914438,0.8382352941176471,0.2647058823529412,0.029113851953834136,True
