dataset,task,model,metric,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
masakhaner_mt5,masakhaner,mt5,f1_score,composite_equal,lightgbm_lambdarank,performance_loss_pct,1.188619118734915,-5.758749500577814,8.29067878035253,0.7396,19
masakhaner_mt5,masakhaner,mt5,f1_score,composite_equal,mlp_listnet,performance_loss_pct,6.228675157031423,-0.05202628676131436,13.566615624902509,0.0521,19
masakhaner_mt5,masakhaner,mt5,f1_score,composite_equal,rrf_equal,performance_loss_pct,1.1241595646828246,-0.12332567562904422,2.8606999927795806,0.1134,19
masakhaner_mt5,masakhaner,mt5,f1_score,composite_equal,single_distals_asjp,performance_loss_pct,5.404748139157362,1.7939657273294114,10.45661638541422,0.0,19
masakhaner_mt5,masakhaner,mt5,f1_score,composite_equal,single_distals_wiki_size,performance_loss_pct,1.10905478439353,-3.999980300787866,8.077178364865592,0.8023,19
masakhaner_mt5,masakhaner,mt5,f1_score,composite_equal,single_new_gen,performance_loss_pct,6.513245723326051,1.5781348334522582,13.338150390602513,0.0012,19
masakhaner_mt5,masakhaner,mt5,f1_score,composite_equal,single_new_geo,performance_loss_pct,4.672603043762659,0.48663400982068705,11.150708391320242,0.0112,19
masakhaner_mt5,masakhaner,mt5,f1_score,composite_equal,single_new_typ,performance_loss_pct,-2.118248766406501,-7.8956404009792625,2.309845266285552,0.4357,19
masakhaner_mt5,masakhaner,mt5,f1_score,composite_equal,single_script,performance_loss_pct,1.3146085291343237,-4.371853864291097,7.868515070951064,0.7031,19
masakhaner_mt5,masakhaner,mt5,f1_score,lightgbm_lambdarank,mlp_listnet,performance_loss_pct,5.040056038296508,-1.817622371082028,13.290596617170754,0.18,19
masakhaner_mt5,masakhaner,mt5,f1_score,lightgbm_lambdarank,rrf_equal,performance_loss_pct,-0.06445955405209088,-7.590236142818061,7.40391445157251,0.9893,19
masakhaner_mt5,masakhaner,mt5,f1_score,lightgbm_lambdarank,single_distals_asjp,performance_loss_pct,4.2161290204224455,-0.009287623487371862,9.679099405076295,0.0506,19
masakhaner_mt5,masakhaner,mt5,f1_score,lightgbm_lambdarank,single_distals_wiki_size,performance_loss_pct,-0.07956433434138517,-4.958079963348577,5.865232783373681,0.9246,19
masakhaner_mt5,masakhaner,mt5,f1_score,lightgbm_lambdarank,single_new_gen,performance_loss_pct,5.324626604591135,0.17535931127665505,11.85196456221605,0.0402,19
masakhaner_mt5,masakhaner,mt5,f1_score,lightgbm_lambdarank,single_new_geo,performance_loss_pct,3.4839839250277445,-1.832664351897374,9.827290153640613,0.2372,19
masakhaner_mt5,masakhaner,mt5,f1_score,lightgbm_lambdarank,single_new_typ,performance_loss_pct,-3.306867885141416,-11.899649763468497,5.1774185161589745,0.4429,19
masakhaner_mt5,masakhaner,mt5,f1_score,lightgbm_lambdarank,single_script,performance_loss_pct,0.12598941039940872,-6.5957565224279175,7.967180819575776,0.9816,19
masakhaner_mt5,masakhaner,mt5,f1_score,mlp_listnet,rrf_equal,performance_loss_pct,-5.104515592348598,-12.247719149016882,0.9029971878728645,0.1049,19
masakhaner_mt5,masakhaner,mt5,f1_score,mlp_listnet,single_distals_asjp,performance_loss_pct,-0.8239270178740615,-4.638561945478378,3.454705522203869,0.6666,19
