dataset,task,model,model_name,metric,metric_name,comparison,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-3.982693410206245,-6.87777508322714,-0.9565499808005368,0.010999450027498626,185,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.02199890005499725
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-3.237165576552799,-5.7365178934143275,-0.6270304248765837,0.014599270036498175,185,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.02199890005499725
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,14.909845376071246,11.034964126952588,18.96446577633163,9.99950002499875e-05,185,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,11.949512545847407,7.431615395802354,16.72809543837334,9.99950002499875e-05,185,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.000199990000499975
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-22.516936125005284,-24.55604571016963,-20.48384054554929,9.99950002499875e-05,762,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-38.341069807121364,-40.349580597808426,-36.34050590800598,9.99950002499875e-05,762,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.000199990000499975
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-15.041731926082107,-17.07238274813005,-12.978730975133516,9.99950002499875e-05,762,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-34.93727918197577,-36.72597791544406,-33.12391748868335,9.99950002499875e-05,762,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.000199990000499975
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-3.44202808859514,-11.919347574666245,3.8385920022177045,0.42707864606769663,9,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.7855607219639018
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-3.110161968047855,-10.279068581078725,3.716536424413838,0.3927803609819509,9,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.7855607219639018
tydiqa_xlm-r,tydiqa,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-5.288829866835605,-14.410487178454812,5.219463419217636,0.29668516574171294,9,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.5933703314834259
tydiqa_xlm-r,tydiqa,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,0.5233520803954745,-11.381933343448079,14.786868605705568,0.9676516174191291,9,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.9676516174191291
ud_dep_xlm-r,ud_dep,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-8.67952126185528,-13.324356463365554,-3.935489812764008,0.00039998000099995,147,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.00039998000099995
ud_dep_xlm-r,ud_dep,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-11.939602487147821,-16.27756299617406,-7.624562161995711,9.99950002499875e-05,147,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.000199990000499975
ud_pos_mt5,ud_pos,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-2.4415736965138177,-6.600109155140516,1.7470593917984543,0.25148742562871856,147,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.25148742562871856
ud_pos_mt5,ud_pos,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-7.160934496591003,-11.130800494620559,-3.15299850249151,0.000599970001499925,147,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.00119994000299985
ud_pos_xlm-r,ud_pos,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-9.08175310667992,-13.113819888667926,-4.953188906229633,9.99950002499875e-05,147,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975
ud_pos_xlm-r,ud_pos,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-5.837639949400644,-9.561303515003583,-2.0418918336937977,0.0022998850057497125,147,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.0022998850057497125
wikiann_mt5,wikiann,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-1.8008521904854804,-3.804333011999494,0.2898401402074166,0.09189540522973852,144,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.18379081045947704
wikiann_mt5,wikiann,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-1.7200200827011232,-3.9327123982976118,0.6265963387005924,0.14699265036748163,144,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.18379081045947704
wikiann_xlm-r,wikiann,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-8.387693659416174,-11.695773783969294,-5.177834115054156,9.99950002499875e-05,144,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975
wikiann_xlm-r,wikiann,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-7.331443020164849,-10.297342349256859,-4.36019646986378,9.99950002499875e-05,144,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.000199990000499975
xnli_mt5,xnli,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,2.411019043514668,-0.008322382568089266,6.134156584612418,0.0519974001299935,15,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.103994800259987
xnli_mt5,xnli,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,2.0728686933308285,-1.1286925311503477,7.235461189370828,0.46617669116544175,15,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.46617669116544175
xnli_xlm-r,xnli,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-1.6189673592345497,-2.5639393108505133,-0.6086996745543884,0.0020998950052497373,15,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.004199790010499475
xnli_xlm-r,xnli,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-1.5595384657523568,-2.437094468936577,-0.5745463278355328,0.0020998950052497373,15,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.004199790010499475
xquad_mt5,xquad,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,19.94859814722552,6.662997962415497,34.75464596881724,0.00119994000299985,12,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.0023998800059997
xquad_mt5,xquad,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,0.14100670095699996,-10.081522154871374,11.854300388391467,0.9809509524523774,12,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.9809509524523774
xquad_xlm-r,xquad,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,3.137565917184705,-0.7970927165706602,6.431365921003641,0.11049447527623618,12,PL (%),Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.11049447527623618
xquad_xlm-r,xquad,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-20.24990819429763,-35.99636660130276,-5.192353955949299,0.004699765011749413,12,PL (%),Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.009399530023498826
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,raw_oracle_gap_points,-2.5106117168484614,-4.64525866325296,-0.18918397278235036,0.03529823508824559,185,Raw gap,Fixed method vs English,method_a minus method_b,Composite-Equal,Always English,0.04039798010099495
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,raw_oracle_gap_points,-2.3614291764099864,-4.190185931189245,-0.38602086177946077,0.020198990050497474,185,Raw gap,Fixed method vs English,method_a minus method_b,LightGBM,Always English,0.04039798010099495
