dataset,task,model,english_available,n_targets_full,n_targets_with_english,used_in_with_english,reason
masakhaner_mt5,masakhaner,mT5,False,10,0,False,no English transfer source
masakhaner_xlm-r,masakhaner,XLM-R,False,10,0,False,no English transfer source
opus100_mt5,opus100,mT5,False,46,0,False,no English transfer source
sib200_mt5,sib200,mT5,True,74,74,True,
sib200_xlm-r,sib200,XLM-R,True,74,74,True,
taxi1500_mt5,taxi1500,mT5,True,732,732,True,
taxi1500_xlm-r,taxi1500,XLM-R,True,732,732,True,
tydiqa_mt5,tydiqa,mT5,True,8,8,True,
tydiqa_xlm-r,tydiqa,XLM-R,True,8,8,True,
ud_dep_xlm-r,ud_dep,XLM-R,True,64,64,True,
ud_pos_mt5,ud_pos,mT5,True,64,64,True,
ud_pos_xlm-r,ud_pos,XLM-R,True,64,64,True,
wikiann_mt5,wikiann,mT5,True,56,56,True,
wikiann_xlm-r,wikiann,XLM-R,True,56,56,True,
xnli_mt5,xnli,mT5,True,10,10,True,
xnli_xlm-r,xnli,XLM-R,True,10,10,True,
xquad_mt5,xquad,mT5,True,9,9,True,
xquad_xlm-r,xquad,XLM-R,True,9,9,True,
