model,method_type,n_cells_hrl,n_cells_mrl,n_cells_lrl,pl_hrl,pl_mrl,pl_lrl,raw_gap_hrl,raw_gap_mrl,raw_gap_lrl,pl_mrl_minus_hrl,pl_lrl_minus_hrl,raw_gap_mrl_minus_hrl,raw_gap_lrl_minus_hrl
mT5,Composite,7,7,5,11.672111647249707,18.88826147848945,23.093424955858367,6.678606671823277,10.18326172665127,8.640251525462464,7.216149831239743,11.42131330860866,3.5046550548279933,1.9616448536391866
mT5,English,7,7,5,4.903109531164199,12.237121296490127,31.136261408657777,2.8878786475236775,7.328821561219741,11.76004916592883,7.334011765325928,26.23315187749358,4.440942913696064,8.872170518405152
mT5,Individual,7,7,5,13.976636813834359,21.602396030994008,27.618859881478535,8.717629773701516,11.548816481786599,10.17485217966179,7.625759217159649,13.642223067644176,2.8311867080850828,1.457222405960275
mT5,NNRank,7,7,5,11.471040626566266,21.201013128836824,22.95954248141372,7.391031458042852,10.58471465104509,8.120538619496212,9.729972502270558,11.488501854847454,3.1936831930022374,0.7295071614533599
mT5,Trained,7,7,5,10.460482364515366,13.100875937348947,18.73212558466588,5.884894276299137,7.603618062426037,7.668047086216599,2.640393572833581,8.271643220150514,1.7187237861268994,1.7831528099174614
XLM-R,Composite,8,8,6,9.179016150515224,10.898452954058758,28.945907189194454,4.104079095263068,6.49387096034189,10.39682659203183,1.719436803543534,19.76689103867923,2.3897918650788217,6.292747496768762
XLM-R,English,8,8,6,6.842227128651684,9.81443732792102,30.928283539914784,2.3288406662461503,6.048962621511555,11.188312987413092,2.9722101992693357,24.0860564112631,3.7201219552654043,8.85947232116694
XLM-R,Individual,8,8,6,14.210496769443335,14.037669685357905,33.866466206182935,7.542919832114635,8.751330889166478,12.160556337776242,-0.17282708408543002,19.6559694367396,1.2084110570518432,4.617636505661607
XLM-R,NNRank,8,8,6,7.908121815326869,8.526401233492514,28.948862276880927,4.486058130430615,4.96857682036527,10.996149993940842,0.6182794181656455,21.04074046155406,0.48251868993465497,6.510091863510227
XLM-R,Trained,8,8,6,10.175368797654382,9.986938941538535,22.78785475191226,5.387393723906172,6.359255411970194,8.903996451518195,-0.18842985611584773,12.612485954257878,0.9718616880640223,3.516602727612023
