dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Always English,performance_loss_pct,-4.067180743977999,-6.7402364688058185,-1.2117675942642288,0.0071,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-Equal,performance_loss_pct,-0.08448733377175326,-3.0749928115882974,2.896872827832474,0.968,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-RRF,performance_loss_pct,0.5786657568019928,-2.3432102586517383,3.573398841204867,0.6988,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Genetic,performance_loss_pct,-1.5996560176196568,-4.2148683397157045,1.015769902048048,0.2309,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Geographic,performance_loss_pct,1.071979469547878,-1.8608250772014259,4.03181741371534,0.4815,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,LightGBM,performance_loss_pct,-0.8300151674251999,-4.045521774655224,2.435255433048773,0.6128,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,MLP,performance_loss_pct,1.0479629225978864,-1.8746700634483155,4.0336620533835115,0.48,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Script,performance_loss_pct,2.806404010958141,-0.1770166726709613,5.863685854618861,0.0661,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Typological,performance_loss_pct,-1.5573397225948484,-4.792177110673998,1.7367128980195332,0.3531,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Wikipedia size,performance_loss_pct,-2.537339796377204,-6.434525042856985,1.394022458647089,0.2098,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Composite-Equal,performance_loss_pct,3.982693410206245,0.9565499808005367,6.877775083227137,0.0109,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Composite-RRF,performance_loss_pct,4.645846500779992,1.8052531843649755,7.4871135393428,0.0013,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Genetic,performance_loss_pct,2.467524726358342,-0.5791943820446047,5.445346456442464,0.1099,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Geographic,performance_loss_pct,5.1391602135258765,2.775666328827971,7.41512613490525,0.0001,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,LightGBM,performance_loss_pct,3.237165576552799,0.57536444521548,5.754923766525627,0.0183,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,MLP,performance_loss_pct,5.115143666575885,2.3435113240619905,7.746742841745819,0.0008,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Script,performance_loss_pct,6.8735847549361395,4.507097551016995,9.07570103119006,0.0,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Typological,performance_loss_pct,2.5098410213831492,-0.26041332859417554,5.1567411634433595,0.0747,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Wikipedia size,performance_loss_pct,1.529840947600795,-1.3037902493667581,4.22147240541071,0.28,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite-RRF,performance_loss_pct,0.6631530905737464,-1.3857616824317576,2.836714188298751,0.5494,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Genetic,performance_loss_pct,-1.515168683847903,-4.694059546177069,1.68364085721163,0.3402,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Geographic,performance_loss_pct,1.156466803319631,-2.119067220435056,4.439773177368167,0.5,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,LightGBM,performance_loss_pct,-0.7455278336534468,-4.1917734223819245,2.7261956561217726,0.6644,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,MLP,performance_loss_pct,1.1324502563696393,-1.8142750621294739,4.1118971763921,0.452,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Script,performance_loss_pct,2.8908913447298947,-0.1798378180396603,6.100361737451012,0.0665,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Typological,performance_loss_pct,-1.4728523888230958,-4.88325551343023,2.0389556510443874,0.4059,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Wikipedia size,performance_loss_pct,-2.45285246260545,-6.274201655990463,1.3091061101690213,0.2079,185
