dataset,task,model,metric,resource,oracle_score,source_sd,oracle_minus_median,mean_sources,n_targets
sib200_mt5,sib200,mT5,F1/LAS,HRL,89.97617948348179,19.096441327603227,12.50294372623735,176.0,7
sib200_mt5,sib200,mT5,F1/LAS,LRL,72.45620389865398,13.527482927549046,12.373679612027406,176.0,136
sib200_mt5,sib200,mT5,F1/LAS,MRL,88.38159968418518,17.759027586359785,8.262861029043048,176.0,42
sib200_xlm-r,sib200,XLM-R,F1/LAS,HRL,83.26271850993089,30.406357327750047,9.049367566402811,176.0,7
sib200_xlm-r,sib200,XLM-R,F1/LAS,LRL,62.22710383117887,20.0547830842058,11.01042062466706,176.0,136
sib200_xlm-r,sib200,XLM-R,F1/LAS,MRL,88.16577477439768,32.92337347981023,7.765463327043407,176.0,42
taxi1500_mt5,taxi1500,mT5,F1/LAS,HRL,71.24178299777388,19.777230184584845,21.20987636763022,32.0,8
taxi1500_mt5,taxi1500,mT5,F1/LAS,LRL,24.344423872753826,5.426748434218272,13.042238217035234,32.0,726
taxi1500_mt5,taxi1500,mT5,F1/LAS,MRL,65.03750024101738,18.049035179912757,19.616647726688086,32.0,28
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,HRL,72.07196695557299,12.61697496822667,8.397981714086354,32.0,8
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,LRL,22.193442873946523,4.238663151451754,12.5580725279364,32.0,726
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,MRL,67.77106009518606,11.590015524633284,11.400723325711793,32.0,28
tydiqa_mt5,tydiqa,mT5,F1/LAS,HRL,79.22685240093693,11.026987735904292,13.451215523341759,9.0,2
tydiqa_mt5,tydiqa,mT5,F1/LAS,LRL,84.01570014235827,12.81563288998916,28.962220225404824,9.0,2
tydiqa_mt5,tydiqa,mT5,F1/LAS,MRL,78.236501358248,11.33726947017357,21.963109648253333,9.0,5
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,HRL,72.73615707360383,14.924687803894944,12.652092753420302,9.0,2
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,LRL,70.14246613522106,11.880465212632103,19.16217071494083,9.0,2
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,MRL,66.47065408586604,11.630499296489763,12.174595285406449,9.0,5
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,HRL,68.36376085979758,16.73779362537852,33.13707579538018,73.0,7
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,LRL,47.268496068031226,8.65291951549499,26.57226514915266,73.0,100
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,MRL,80.48581495519662,20.654867189492172,33.07222071715051,73.0,40
ud_pos_mt5,ud_pos,mT5,F1/LAS,HRL,47.212701324502525,10.899192770642982,25.892130934904603,73.0,7
ud_pos_mt5,ud_pos,mT5,F1/LAS,LRL,31.79863149079613,6.994620233572467,15.281542694779832,73.0,100
ud_pos_mt5,ud_pos,mT5,F1/LAS,MRL,57.429607865759905,14.02227239967014,28.40044683020485,73.0,40
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,HRL,69.30540989685883,14.427903215114279,25.160805559370193,73.0,7
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,LRL,48.953746333571964,7.993813571701181,21.345554861872234,73.0,100
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,MRL,81.71973616295284,16.813970671075058,26.456098369134054,73.0,40
wikiann_mt5,wikiann,mT5,F1/LAS,HRL,87.38620947244068,7.635111887707915,15.501742216098815,55.0,7
wikiann_mt5,wikiann,mT5,F1/LAS,LRL,76.75004591991183,9.013804379680275,9.949382004393259,55.0,94
wikiann_mt5,wikiann,mT5,F1/LAS,MRL,90.7580155091926,9.425593897213954,13.862311218317444,55.0,43
wikiann_xlm-r,wikiann,XLM-R,F1/LAS,HRL,83.46210034386287,11.011779914628061,29.650193003631724,55.0,7
wikiann_xlm-r,wikiann,XLM-R,F1/LAS,LRL,67.1388933001427,9.468032523610525,15.901530034609,55.0,94
wikiann_xlm-r,wikiann,XLM-R,F1/LAS,MRL,88.63869542890023,11.188034689896234,23.248112465982217,55.0,43
xnli_mt5,xnli,mT5,F1/LAS,HRL,75.40666666666667,8.023867584142538,2.7666666666666675,15.0,6
xnli_mt5,xnli,mT5,F1/LAS,LRL,66.91,6.574899238771648,1.1299999999999977,15.0,1
xnli_mt5,xnli,mT5,F1/LAS,MRL,72.60875,6.7779761371491,2.480000000000003,15.0,8
xnli_xlm-r,xnli,XLM-R,F1/LAS,HRL,79.33740869365975,1.783278462703767,1.6943977247469857,15.0,6
xnli_xlm-r,xnli,XLM-R,F1/LAS,LRL,70.32241289700107,2.0034800466793765,3.9882682789451174,15.0,1
xnli_xlm-r,xnli,XLM-R,F1/LAS,MRL,76.27029032537595,1.5370059213427656,1.8116940802395107,15.0,8
xquad_mt5,xquad,mT5,F1/LAS,HRL,32.23253366646698,9.607296823960692,11.298625916008582,12.0,5
xquad_mt5,xquad,mT5,F1/LAS,MRL,30.39566881553733,9.433971221784262,11.144735920244766,12.0,7
xquad_xlm-r,xquad,XLM-R,F1/LAS,HRL,35.69212338040748,7.0300362311334625,21.392450182378596,12.0,5
xquad_xlm-r,xquad,XLM-R,F1/LAS,MRL,36.066144578824016,6.934471126576924,21.50987933198025,12.0,7
