model,method,method_type,n_cells_hrl,n_cells_mrl,n_cells_lrl,pl_hrl,pl_mrl,pl_lrl,raw_gap_hrl,raw_gap_mrl,raw_gap_lrl,pl_mrl_minus_hrl,pl_lrl_minus_hrl,raw_gap_mrl_minus_hrl,raw_gap_lrl_minus_hrl
mT5,ASJP,Individual,7,7,6,19.062824074905382,23.537287106486197,23.03494497516037,10.856748064499497,11.983852445268685,8.840177690132933,4.4744630315808145,3.972120900254989,1.1271043807691878,-2.016570374366564
mT5,Always English,English,7,7,6,11.835616689836916,12.924368343104177,26.559729726677997,5.894310582167795,7.735506865321289,10.64128130795654,1.088751653267261,14.72411303684108,1.8411962831534945,4.746970725788745
mT5,Composite-Equal,Composite,7,7,6,15.212552008971118,18.671695045196053,19.410469412707673,8.23191619761603,10.040145772863761,8.053420785383755,3.459143036224935,4.197917403736556,1.808229575247731,-0.17849541223227483
mT5,Composite-RRF,Composite,7,7,6,13.498995091767686,18.27608099996989,19.24900385416063,6.649661646750169,9.721863138851381,8.108115691446224,4.777085908202203,5.750008762392945,3.072201492101212,1.4584540446960554
mT5,Genetic,Individual,7,7,6,21.832669714133978,16.929901973001485,25.991961625649726,12.994146753872288,9.539997962252642,10.408569385208573,-4.902767741132493,4.159291911515748,-3.4541487916196463,-2.5855773686637153
mT5,Geographic,Individual,7,7,6,23.676632532654505,23.298010569156254,22.984110960698214,12.73748990465293,11.786058636467368,8.99813111710093,-0.37862196349825084,-0.6925215719562914,-0.9514312681855621,-3.739358787552
mT5,LightGBM,Trained,7,7,6,18.14407342985175,13.65298216340543,14.753428334788941,10.880540538408598,7.68349104798969,6.670044697389781,-4.491091266446322,-3.39064509506281,-3.197049490418908,-4.210495841018816
mT5,MLP,Trained,7,7,6,23.36933137323764,19.665405838802908,17.671308300675616,13.667932013177976,10.554810380935539,7.302182570830461,-3.703925534434731,-5.698023072562023,-3.1131216322424375,-6.365749442347515
mT5,Script,Individual,7,7,6,23.841338540097073,20.714143958633077,22.744238510465166,13.325474018936983,11.307704313944289,8.881706510707026,-3.1271945814639963,-1.097100029631907,-2.017769704992695,-4.443767508229957
mT5,Typological,Individual,7,7,6,22.52077209740849,21.091438017830832,23.113657740097807,12.70210048961745,11.5744642563821,8.630019509493787,-1.4293340795776572,0.5928856426893176,-1.12763623323535,-4.072080980123664
mT5,Wikipedia size,Individual,7,7,6,15.50440699482571,27.42159633971483,25.121708939677532,8.105773686724225,14.66399727843425,9.867522808282418,11.917189344889122,9.617301944851823,6.558223591710025,1.7617491215581929
XLM-R,ASJP,Individual,8,8,7,23.323927635769955,17.79020362698774,25.177185332757976,13.702204871386888,9.522676139564535,9.356303211760496,-5.533724008782215,1.8532576969880203,-4.179528731822353,-4.345901659626392
XLM-R,Always English,English,8,8,7,17.37805710284586,15.537632892946005,27.784169339315415,7.653929881460913,8.403861321219441,10.951251659221436,-1.8404242098998562,10.406112236469554,0.7499314397585284,3.297321777760523
XLM-R,Composite-Equal,Composite,8,8,7,14.88278051667366,15.435183065503276,20.81576967324826,7.496595850411715,7.872008214229172,8.636644073892798,0.5524025488296154,5.932989156574598,0.3754123638174569,1.1400482234810827
XLM-R,Composite-RRF,Composite,8,8,7,15.75150158168274,15.533358800323356,21.75304850648514,7.589984923155759,7.941095443069784,9.032506648353964,-0.21814278135938459,6.001546924802399,0.351110519914025,1.4425217251982048
XLM-R,Genetic,Individual,8,8,7,21.429266589987684,18.02392795521378,28.487070059177295,10.322685191802286,9.857090336654675,10.669168769642576,-3.405338634773905,7.057803469189611,-0.4655948551476108,0.3464835778402904
XLM-R,Geographic,Individual,8,8,7,23.611747341405124,20.091258720053258,25.19185584910323,13.067611706852903,11.360209296772368,10.367224255483919,-3.5204886213518662,1.5801085076981067,-1.707402410080535,-2.700387451368984
XLM-R,LightGBM,Trained,8,8,7,18.16203334431615,17.748827511586693,15.680684674240286,11.04201741749467,10.809958113716629,6.8773642131671675,-0.41320583272945655,-2.481348670075864,-0.23205930377804052,-4.164653204327502
XLM-R,MLP,Trained,8,8,7,14.29684976464743,17.543477369758907,18.375105615427376,8.935507887283041,9.981154873207082,8.091257211589632,3.2466276051114775,4.0782558507799465,1.0456469859240407,-0.8442506756934094
XLM-R,Script,Individual,8,8,7,27.155742472486075,23.86209362557181,28.361547252944835,13.102813851860173,14.423573353705619,11.039345612743118,-3.293648846914266,1.2058047804587595,1.3207595018454459,-2.0634682391170553
XLM-R,Typological,Individual,8,8,7,18.571153057221146,15.214630024249539,26.324963224395567,8.82031942006666,8.53977801343045,10.331128642878495,-3.356523032971607,7.7538101671744215,-0.2805414066362104,1.5108092228118348
XLM-R,Wikipedia size,Individual,8,8,7,17.461544379560337,24.29344267181283,31.112997511914816,8.992855519228831,14.506854048919514,12.77968321284433,6.831898292252493,13.65145313235448,5.513998529690683,3.786827693615498
