model,method,method_type,resource,n_dataset_cells,n_targets,trial_complexity,pool_fraction,near_oracle_coverage,exact_best_coverage,best_in_set_pl
XLM-R,ASJP,Individual,HRL,5,7,30.785714285714285,0.7399779906879298,0.8928571428571429,0.8214285714285714,0.027125581989184428
XLM-R,ASJP,Individual,LRL,5,707,28.296969696969697,0.8848310461891357,0.9103030303030303,0.8763636363636363,0.020500237158335658
XLM-R,ASJP,Individual,MRL,5,29,27.554744525547445,0.6567004576502511,0.9708029197080292,0.8467153284671532,0.011690173458322226
XLM-R,Composite-Equal,Composite,HRL,5,7,28.535714285714285,0.6552752427752428,0.9642857142857143,0.8214285714285714,0.006302276339130375
XLM-R,Composite-Equal,Composite,LRL,5,707,21.88,0.6633446626174363,0.9018181818181819,0.8618181818181818,0.01688492682788104
XLM-R,Composite-Equal,Composite,MRL,5,29,27.547445255474454,0.6203510273828187,0.948905109489051,0.8613138686131386,0.011837165131929355
XLM-R,Composite-RRF,Composite,HRL,5,7,29.964285714285715,0.6968370276179607,0.9642857142857143,0.8571428571428571,0.007115916740251964
XLM-R,Composite-RRF,Composite,LRL,5,707,23.452121212121213,0.7133713529546364,0.8824242424242424,0.8460606060606061,0.019615786255999874
XLM-R,Composite-RRF,Composite,MRL,5,29,30.248175182481752,0.6962709303167224,0.9781021897810219,0.8686131386861314,0.010354344140508016
XLM-R,Genetic,Individual,HRL,5,7,35.07142857142857,0.8212651064831593,0.9642857142857143,0.8214285714285714,0.006204551897475893
XLM-R,Genetic,Individual,LRL,5,707,24.184242424242424,0.7281347916138821,0.9151515151515152,0.8654545454545455,0.01415760190954915
XLM-R,Genetic,Individual,MRL,5,29,35.33576642335766,0.818778991299698,0.9781021897810219,0.8686131386861314,0.0059465326201087725
XLM-R,Geographic,Individual,HRL,5,7,32.57142857142857,0.76375043281737,0.9642857142857143,0.8571428571428571,0.005927021378148982
XLM-R,Geographic,Individual,LRL,5,707,28.401212121212122,0.874609550105747,0.8921212121212121,0.8618181818181818,0.022854510908973513
XLM-R,Geographic,Individual,MRL,5,29,31.759124087591243,0.7318652916336272,0.9781021897810219,0.8394160583941606,0.006382195700665722
XLM-R,LightGBM,Trained,HRL,5,7,21.821428571428573,0.5401643424462896,0.9285714285714286,0.6071428571428571,0.011893328045466509
XLM-R,LightGBM,Trained,LRL,5,707,10.734545454545454,0.3212656268520168,0.9284848484848485,0.8751515151515151,0.0121495301013441
XLM-R,LightGBM,Trained,MRL,5,29,22.05839416058394,0.5622102013382475,0.948905109489051,0.781021897810219,0.010718121237822568
XLM-R,MLP,Trained,HRL,5,7,24.535714285714285,0.5881923861639885,0.9642857142857143,0.7857142857142857,0.00638817207474061
XLM-R,MLP,Trained,LRL,5,707,15.452121212121211,0.46868831889213763,0.8775757575757576,0.8096969696969697,0.02031336575097781
XLM-R,MLP,Trained,MRL,5,29,24.072992700729927,0.5792301034202054,0.9708029197080292,0.8394160583941606,0.011166535665768808
XLM-R,NNRank,NNRank,HRL,5,7,23.928571428571427,0.6192371242320532,0.9285714285714286,0.8214285714285714,0.01436774504096998
XLM-R,NNRank,NNRank,LRL,5,707,23.28848484848485,0.7349233561425383,0.9648484848484848,0.9248484848484848,0.007753776506115978
XLM-R,NNRank,NNRank,MRL,5,29,23.970802919708028,0.6088279555540378,0.9781021897810219,0.8686131386861314,0.007764178530628659
XLM-R,Script,Individual,HRL,5,7,23.678571428571427,0.5637440458687923,0.9642857142857143,0.75,0.006986194334622521
XLM-R,Script,Individual,LRL,5,707,13.843636363636364,0.41159427769818635,0.8678787878787879,0.7975757575757576,0.02113767047230715
XLM-R,Script,Individual,MRL,5,29,24.2992700729927,0.5786698220330345,0.9416058394160584,0.7372262773722628,0.013885248361415319
XLM-R,Typological,Individual,HRL,5,7,30.75,0.7643942152816392,0.9642857142857143,0.8571428571428571,0.004803998086973375
XLM-R,Typological,Individual,LRL,5,707,22.716363636363635,0.6979337970084316,0.9078787878787878,0.8593939393939394,0.014007680394997094
XLM-R,Typological,Individual,MRL,5,29,31.182481751824817,0.7636032172379685,0.9781021897810219,0.8248175182481752,0.008387170769080738
XLM-R,Wikipedia size,Individual,HRL,5,7,28.107142857142858,0.6767594574896806,0.9642857142857143,0.9285714285714286,0.005104074860932446
XLM-R,Wikipedia size,Individual,LRL,5,707,23.63878787878788,0.7408964878631706,0.9660606060606061,0.9309090909090909,0.006708927972705935
XLM-R,Wikipedia size,Individual,MRL,5,29,25.335766423357665,0.6307104642221558,0.9708029197080292,0.781021897810219,0.009112020898601275
mT5,ASJP,Individual,HRL,4,7,27.26086956521739,0.663129455650842,0.9130434782608695,0.8260869565217391,0.009379584323329916
mT5,ASJP,Individual,LRL,4,707,26.711586901763223,0.8528472554970351,0.9130982367758187,0.8438287153652393,0.013238794244610866
mT5,ASJP,Individual,MRL,4,29,24.81651376146789,0.6065607815063497,0.9724770642201835,0.7247706422018348,0.006928110662344464
mT5,Composite-Equal,Composite,HRL,4,7,23.608695652173914,0.5893077164265099,0.9565217391304348,0.6956521739130435,0.008616259763572042
mT5,Composite-Equal,Composite,LRL,4,707,21.32241813602015,0.679437240156827,0.8992443324937027,0.8413098236775819,0.013327711013555923
mT5,Composite-Equal,Composite,MRL,4,29,21.825688073394495,0.551841230639432,0.981651376146789,0.7339449541284404,0.008203297457069936
mT5,Composite-RRF,Composite,HRL,4,7,23.82608695652174,0.5929652351162185,0.9565217391304348,0.782608695652174,0.007374088303596288
