dataset,task,model,metric,method,method_type,resource,n_targets,trial_complexity,pool_fraction,near_oracle_coverage,exact_best_coverage,best_in_set_pl,large_enough_for_main_ctc
masakhaner_mt5,masakhaner,mT5,F1/LAS,ASJP,Individual,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mT5,F1/LAS,Composite-Equal,Composite,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mT5,F1/LAS,Composite-RRF,Composite,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mT5,F1/LAS,Genetic,Individual,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mT5,F1/LAS,Geographic,Individual,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mT5,F1/LAS,LightGBM,Trained,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mT5,F1/LAS,MLP,Trained,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mT5,F1/LAS,NNRank,NNRank,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mT5,F1/LAS,Script,Individual,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mT5,F1/LAS,Typological,Individual,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_mt5,masakhaner,mT5,F1/LAS,Wikipedia size,Individual,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,XLM-R,F1/LAS,ASJP,Individual,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,XLM-R,F1/LAS,Composite-Equal,Composite,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,XLM-R,F1/LAS,Composite-RRF,Composite,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,XLM-R,F1/LAS,Genetic,Individual,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,XLM-R,F1/LAS,Geographic,Individual,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,XLM-R,F1/LAS,LightGBM,Trained,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,XLM-R,F1/LAS,MLP,Trained,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,XLM-R,F1/LAS,NNRank,NNRank,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,XLM-R,F1/LAS,Script,Individual,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,XLM-R,F1/LAS,Typological,Individual,LRL,10,9.0,1.0,1.0,1.0,0.0,False
masakhaner_xlm-r,masakhaner,XLM-R,F1/LAS,Wikipedia size,Individual,LRL,10,9.0,1.0,1.0,1.0,0.0,False
opus100_mt5,opus100,mT5,BLEU,ASJP,Individual,HRL,4,20.25,0.81,0.5,0.5,0.13398301657597864,False
opus100_mt5,opus100,mT5,BLEU,ASJP,Individual,LRL,16,19.6875,0.7572115384615385,1.0,1.0,0.0,False
opus100_mt5,opus100,mT5,BLEU,ASJP,Individual,MRL,26,18.96153846153846,0.753905325443787,0.9230769230769231,0.9230769230769231,0.016088050056249213,False
opus100_mt5,opus100,mT5,BLEU,Composite-Equal,Composite,HRL,4,20.0,0.8,0.75,0.75,0.0532226714707781,False
opus100_mt5,opus100,mT5,BLEU,Composite-Equal,Composite,LRL,16,18.625,0.7163461538461539,1.0,1.0,0.0,False
opus100_mt5,opus100,mT5,BLEU,Composite-Equal,Composite,MRL,26,18.0,0.7159171597633136,0.9230769230769231,0.8846153846153846,0.019895692556003094,False
