dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,outcome_name,mean,ci_lower,ci_upper,n_units
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,PL (%),6.201785707299873,3.7631121461102635,8.819808213751973,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,Raw gap,4.834940421367744,2.9093247110030487,6.948026644699173,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,PL (%),11.606533846457232,6.725027104559045,18.102921125342267,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,8.82587843539029,5.266589669925632,13.270213331133132,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,PL (%),10.482374281774408,5.951534259621488,16.731684318344048,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,7.945952358354101,4.723929533195946,12.087057941361959,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,PL (%),5.093288123131184,3.2044805571641257,7.216426249089939,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,Raw gap,4.0106806275299975,2.503555193541523,5.721801887087464,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,PL (%),6.933930802694575,4.452647406591706,9.485022324767023,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,Raw gap,5.475769765959787,3.47807155201983,7.536945461389354,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,PL (%),10.417914727722318,4.712742737987554,17.688183186124082,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,Raw gap,8.284190202350617,3.549618661616016,14.417124509509978,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,PL (%),5.3778586894258105,2.439756613941066,9.509754235562463,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,Raw gap,4.196969398142648,1.8648797177874668,7.549881759891913,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Script,Individual,performance_loss_pct,PL (%),10.29192531732291,7.708334206632448,13.404885564197754,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,Raw gap,8.136131186824368,6.082273924634174,10.645296479460901,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,PL (%),13.724782612863736,7.459112768855803,21.379915898291102,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,Raw gap,10.458289131934174,5.998516510789917,15.811108142450102,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,PL (%),10.497479062063704,6.8866098354110745,14.981019363113441,19
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,Raw gap,8.475379560529651,5.49611276535579,12.235473830760967,19
