dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,outcome_name,mean,ci_lower,ci_upper,n_units
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,PL (%),4.638106947669835,1.429173539664644,8.438766907952157,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,Raw gap,3.6037219216553438,1.0923172397751946,6.597303558090693,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,PL (%),4.665846962110858,1.8925809952383543,8.012285775822058,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,3.6651194783126444,1.4653170923376153,6.374262213864251,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,PL (%),4.978532046661741,2.182139117408211,8.27799915498869,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,3.909783378500586,1.6840378163648289,6.595139661239872,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,PL (%),4.199169235935152,1.9225131054741265,7.201613578776437,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,Raw gap,3.357564493274513,1.4867586115094495,5.901546673205036,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,PL (%),5.538276274211464,2.594219372783089,8.90231877816147,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,Raw gap,4.278446177498019,1.9477394233736323,6.984011338179678,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,PL (%),3.369844487817646,1.990656842705108,4.757708972141485,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,Raw gap,2.5757019889851773,1.5263685723440112,3.6201505566370886,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,PL (%),4.522697727078938,2.1827620093705713,7.24099624630997,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,Raw gap,3.450108771921194,1.687247870696071,5.457869351786664,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,NNRank,NNRank,performance_loss_pct,PL (%),5.312076992308793,1.4833332700273458,10.74635223429539,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,NNRank,NNRank,raw_oracle_gap_points,Raw gap,4.13326028091425,1.1057637626810055,8.687337258293942,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Script,Individual,performance_loss_pct,PL (%),8.23752341118448,4.4133444995789946,13.24685718400511,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,Raw gap,6.278913352194851,3.3517316938864554,10.221304204593606,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,PL (%),3.2781465128925733,1.0361667106156813,6.43629814128286,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,Raw gap,2.6571581904269137,0.798615517073615,5.3161612824324305,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,PL (%),9.296275795703044,5.880686373213587,12.574802041340968,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,Raw gap,7.144496936008396,4.469330902011922,9.77277304137696,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,PL (%),5.7823764997731,1.75556925109296,10.423150438257553,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,Raw gap,2.8536427874463164,0.8327808731924813,5.252515208314798,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,PL (%),8.265378262444262,3.482464287160043,13.19839146820804,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,4.328652299895194,1.7619598880103158,6.923206429373631,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,PL (%),6.612632122247277,2.181212043201614,11.42742618925941,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,3.4366407472743945,1.0880428135810463,5.932661591548524,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,PL (%),11.030263232277594,4.5230073716485775,18.165375464465566,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,Raw gap,5.427003251878108,2.231670177497796,8.936323885797512,10
