dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-Equal,performance_loss_pct,-0.027740014441023097,-1.932746443017945,1.709458481301727,0.9925503724813759,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-RRF,performance_loss_pct,-0.3404250989919052,-2.126245931764748,1.3262181684445458,0.7077646117694115,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Genetic,performance_loss_pct,0.43893771173468393,-2.496838693742903,4.06791733206538,0.8601569921503924,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Geographic,performance_loss_pct,-0.9001693265416291,-2.0966875637267983,-0.031444983480532304,0.04339783010849457,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,LightGBM,performance_loss_pct,1.268262459852189,-2.5037322522291396,5.645686376687913,0.5766711664416779,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,MLP,performance_loss_pct,0.11540922059089702,-3.689344488524617,3.8531126666113114,0.9513524323783811,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,NNRank,performance_loss_pct,-0.6739700446389574,-4.787023607237968,3.698683003048698,0.7318634068296586,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Script,performance_loss_pct,-3.5994164635146433,-8.523603268592396,0.4584749818401498,0.0895955202239888,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Typological,performance_loss_pct,1.3599604347772618,-1.5931154450283038,4.897131073130779,0.43767811609419527,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Wikipedia size,performance_loss_pct,-4.658168848033209,-8.725810227137538,-0.761915666298407,0.018599070046497676,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite-RRF,performance_loss_pct,-0.31268508455088206,-0.9380552536526462,0.0,0.7100644967751613,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Genetic,performance_loss_pct,0.4666777261757071,-1.4088518356381834,3.081626907290892,0.7894605269736513,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Geographic,performance_loss_pct,-0.8724293121006061,-2.258837274340946,0.7007106146890925,0.255887205639718,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,LightGBM,performance_loss_pct,1.296002474293212,-1.848116045016598,5.113368615459588,0.48367581620918954,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,MLP,performance_loss_pct,0.14314923503192006,-2.4720308308083068,3.3342991416391654,0.9778511074446278,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,NNRank,performance_loss_pct,-0.6462300301979342,-4.602037401401643,3.2647535393634413,0.7497625118744062,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Script,performance_loss_pct,-3.571676449073621,-9.186635470020828,0.7442429910551838,0.1318934053297335,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Typological,performance_loss_pct,1.387700449218285,0.0,3.7311717520126644,0.05879706014699265,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Wikipedia size,performance_loss_pct,-4.630428833592186,-8.118421699953183,-1.595801303842101,0.000199990000499975,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Genetic,performance_loss_pct,0.7793628107265891,-1.29502704830212,3.4531401309630034,0.584270786460677,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Geographic,performance_loss_pct,-0.559744227549724,-1.9273940478295095,0.9239230954908961,0.44107794610269485,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,LightGBM,performance_loss_pct,1.6086875588440939,-1.5944410246840537,5.316041662340317,0.3792810359482026,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,MLP,performance_loss_pct,0.4558343195828021,-2.367917748001338,3.7581340003848402,0.8134593270336483,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,NNRank,performance_loss_pct,-0.33354494564705206,-4.387372820681821,3.5962503452157555,0.8770561471926404,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Script,performance_loss_pct,-3.258991364522739,-8.248801321871046,0.7442429910551838,0.1336933153342333,10
