model,method,method_type,n_cells_hrl,n_cells_mrl,n_cells_lrl,pl_hrl,pl_mrl,pl_lrl,raw_gap_hrl,raw_gap_mrl,raw_gap_lrl,pl_mrl_minus_hrl,pl_lrl_minus_hrl,raw_gap_mrl_minus_hrl,raw_gap_lrl_minus_hrl
mT5,ASJP,Individual,8,8,7,13.895572483384273,22.602799025333503,24.900597274661227,5.908502412701831,10.681441886004816,8.909648684382422,8.70722654194923,11.005024791276954,4.772939473302984,3.0011462716805903
mT5,Composite-Equal,Composite,8,8,7,12.067695829147778,18.924069883206744,19.745755118795504,6.425383407196473,8.982622679941798,6.839387752078502,6.856374054058966,7.6780592896477255,2.557239272745325,0.414004344882029
mT5,Composite-RRF,Composite,8,8,7,12.29825096261784,20.904014180211714,20.67030599086988,5.687686041253741,9.637045143816412,6.985372154982329,8.605763217593875,8.372055028252042,3.9493591025626706,1.297686113728588
mT5,Genetic,Individual,8,8,7,18.08940343109459,16.906694295053143,27.21325851779299,9.956738444075679,8.58072431784851,9.603823329193599,-1.1827091360414457,9.123855086698402,-1.3760141262271688,-0.35291511488208016
mT5,Geographic,Individual,8,8,7,12.335130104795274,23.024561927179114,20.596340735257126,6.341597591628741,10.837248578933199,7.172415572306901,10.68943182238384,8.261210630461852,4.495650987304458,0.8308179806781606
mT5,LightGBM,Trained,8,8,7,10.908262756759333,13.198906833453634,15.41962439370624,4.905930765352856,6.3647610463542446,5.757899494386208,2.290644076694301,4.511361636946907,1.4588302810013882,0.8519687290333513
mT5,MLP,Trained,8,8,7,12.876254110613925,13.985670164158295,17.226181942522523,5.86520181955517,7.3263691467371315,6.372130874045193,1.1094160535443702,4.349927831908598,1.4611673271819612,0.5069290544900227
mT5,NNRank,NNRank,8,8,7,11.34166269501136,20.707701109677984,18.951424562829946,6.617853910323724,9.510291069425012,6.540623273378602,9.366038414666624,7.609761867818586,2.892437159101288,-0.07723063694512255
mT5,Script,Individual,8,8,7,19.94945155087809,17.77623791539936,21.115158612240343,9.035375191497554,8.16656711889918,7.312876051942998,-2.1732136354787315,1.1657070613622516,-0.8688080725983731,-1.7224991395545564
mT5,Typological,Individual,8,8,7,17.722233305099437,26.204817413606357,21.35774235529485,9.97194499024529,12.179028218220214,6.5088949193502765,8.48258410850692,3.635509050195413,2.2070832279749233,-3.4630500708950143
mT5,Wikipedia size,Individual,8,8,7,14.430740156177237,29.97962042098073,29.91979264051022,6.615820818358806,12.988350334337024,9.687386146958323,15.548880264803493,15.489052484332984,6.3725295159782185,3.071565328599517
XLM-R,ASJP,Individual,8,8,7,14.389661214073543,11.557243571317084,29.59472087730612,8.43243903433191,7.051145042241195,10.713326149583812,-2.832417642756459,15.205059663232577,-1.3812939920907148,2.280887115251902
XLM-R,Composite-Equal,Composite,8,8,7,9.938866636067496,11.095925558023044,26.184748141655238,3.4659237142555606,6.516923371953483,9.712813500378404,1.1570589219555476,16.24588150558774,3.050999657697923,6.246889786122844
XLM-R,Composite-RRF,Composite,8,8,7,8.41916566496295,10.700980350094472,25.562237094776908,4.742234476270576,6.470818548730296,9.219645378414677,2.281814685131522,17.143071429813958,1.7285840724597206,4.4774109021441015
XLM-R,Genetic,Individual,8,8,7,13.682967418137192,11.839598167334557,32.79389179895862,6.736978465399629,7.205697481923009,11.703433682929399,-1.8433692508026347,19.110924380821427,0.4687190165233801,4.96645521752977
XLM-R,Geographic,Individual,8,8,7,13.782185294103773,14.426865804089633,26.789390138354044,8.920811494182981,8.212663779162632,10.278685691365737,0.6446805099858608,13.007204844250271,-0.708147715020349,1.3578741971827561
XLM-R,LightGBM,Trained,8,8,7,11.567576999502617,8.992857838692034,21.470680399987934,5.843433803920037,5.839782173451772,8.74302168234363,-2.5747191608105826,9.903103400485318,-0.0036516304682656653,2.899587878423592
XLM-R,MLP,Trained,8,8,7,8.783160595806148,10.981020044385033,19.64602152795472,4.931353643892304,6.878728650488616,7.546017642105353,2.1978594485788854,10.862860932148571,1.947375006596312,2.6146639982130493
XLM-R,NNRank,NNRank,8,8,7,7.908121815326869,8.526401233492514,26.636694912337212,4.486058130430615,4.96857682036527,10.36853496688497,0.6182794181656455,18.728573097010344,0.48251868993465497,5.882476836454356
XLM-R,Script,Individual,8,8,7,16.528864398006377,16.040765591177546,29.366048205844177,8.37519614335478,10.384076169641691,10.754614119584849,-0.48809880682883033,12.8371838078378,2.0088800262869118,2.3794179762300693
XLM-R,Typological,Individual,8,8,7,12.85788185003248,10.80995623635303,26.05800378601085,6.099982614469094,6.587577468750059,9.267083272643337,-2.0479256136794515,13.20012193597837,0.4875948542809647,3.1671006581742427
XLM-R,Wikipedia size,Individual,8,8,7,14.02142044230664,19.55158874187557,38.30663136222758,6.692111240949419,13.066825393280286,14.122031624604377,5.530168299568929,24.285210919920935,6.374714152330867,7.429920383654958
