outcome,outcome_name,coefficient,estimate,se,ci_lower,ci_upper,p_value,n_rows,n_datasets,n_targets,fit_note,raw_term
performance_loss_pct,PL (%),"Baseline: Individual, HRL, mT5",22.448216472342246,8.172758757775206,6.42990365276853,38.46652929191596,0.006019592488056508,28200,18,2820,dataset random intercept plus target variance component,Intercept
performance_loss_pct,PL (%),"Composite vs Individual, HRL",-6.558780343545197,1.6313455091439115,-9.75615878780842,-3.361401899281973,5.808144086446594e-05,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Composite]"
performance_loss_pct,PL (%),"Trained vs Individual, HRL",-3.0633497440619766,1.6313455091439075,-6.260728188325192,0.13402870020123947,0.06040776295199499,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Trained]"
performance_loss_pct,PL (%),"LRL vs HRL, Individual",22.967563000667422,8.201345104987796,6.893221970107472,39.041904031227375,0.005102936696908867,28200,18,2820,dataset random intercept plus target variance component,"C(target_resource_level, Treatment(reference=""hrl""))[T.lrl]"
performance_loss_pct,PL (%),"MRL vs HRL, Individual",-1.1150403121765082,8.901199039143835,-18.561069848120958,16.330989223767943,0.9003109481299625,28200,18,2820,dataset random intercept plus target variance component,"C(target_resource_level, Treatment(reference=""hrl""))[T.mrl]"
performance_loss_pct,PL (%),XLM-R vs mT5,-0.9136875291036283,2.974495713962803,-6.7435920006394765,4.916216942432221,0.7587109900817295,28200,18,2820,dataset random intercept plus target variance component,C(model)[T.xlm-r]
performance_loss_pct,PL (%),Composite × LRL,-8.190082476745882,1.6654343857630187,-11.454273891455985,-4.925891062035779,8.757347215211882e-07,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Composite]:C(target_resource_level, Treatment(reference=""hrl""))[T.lrl]"
performance_loss_pct,PL (%),Trained × LRL,-22.17314189226394,1.6654343857630147,-25.437333306974033,-18.908950477553844,1.92622866368161e-40,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Trained]:C(target_resource_level, Treatment(reference=""hrl""))[T.lrl]"
performance_loss_pct,PL (%),Composite × MRL,1.4056136755192856,1.807556980326871,-2.1371329059253563,4.948360256963928,0.4367861452144609,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Composite]:C(target_resource_level, Treatment(reference=""hrl""))[T.mrl]"
performance_loss_pct,PL (%),Trained × MRL,-1.1973659233296574,1.8075569803268672,-4.7401125047742925,2.345380658114977,0.5077006616949125,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Trained]:C(target_resource_level, Treatment(reference=""hrl""))[T.mrl]"
performance_loss_pct,PL (%),Target variance,15.999999999999993,,,,,28200,18,2820,dataset random intercept plus target variance component,target Var
raw_oracle_gap_points,Raw gap,"Baseline: Individual, HRL, mT5",11.011308319834312,3.371344391224403,4.403594733553367,17.619021906115258,0.001090214162391099,28200,18,2820,dataset random intercept plus target variance component,Intercept
raw_oracle_gap_points,Raw gap,"Composite vs Individual, HRL",-3.7625641044555436,0.6729462713149502,-5.081514559763366,-2.4436136491477214,2.255309121779928e-08,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Composite]"
raw_oracle_gap_points,Raw gap,"Trained vs Individual, HRL",-0.2995137504298787,0.6729462713149498,-1.6184642057377001,1.0194367048779425,0.6562632044827481,28200,18,2820,dataset random intercept plus target variance component,"C(method_type, Treatment(reference=""Individual""))[T.Trained]"
raw_oracle_gap_points,Raw gap,"LRL vs HRL, Individual",0.961258585579878,3.383136544179984,-5.669567195794192,7.592084366953948,0.7763089453578499,28200,18,2820,dataset random intercept plus target variance component,"C(target_resource_level, Treatment(reference=""hrl""))[T.lrl]"
