dataset,task,model,hrl_targets,mrl_targets,lrl_targets,unknown_targets,total_targets
masakhaner_mt5,masakhaner,mT5,0,0,19,0,19
masakhaner_xlm-r,masakhaner,XLM-R,0,0,19,0,19
opus100_mt5,opus100,mT5,6,40,41,0,87
sib200_mt5,sib200,mT5,7,42,136,0,185
sib200_xlm-r,sib200,XLM-R,7,42,136,0,185
taxi1500_mt5,taxi1500,mT5,8,28,726,0,762
taxi1500_xlm-r,taxi1500,XLM-R,8,28,726,0,762
tydiqa_mt5,tydiqa,mT5,2,5,2,0,9
tydiqa_xlm-r,tydiqa,XLM-R,2,5,2,0,9
ud_dep_xlm-r,ud_dep,XLM-R,7,40,100,0,147
ud_pos_mt5,ud_pos,mT5,7,40,100,0,147
ud_pos_xlm-r,ud_pos,XLM-R,7,40,100,0,147
wikiann_mt5,wikiann,mT5,7,43,94,0,144
wikiann_xlm-r,wikiann,XLM-R,7,43,94,0,144
xnli_mt5,xnli,mT5,6,8,1,0,15
xnli_xlm-r,xnli,XLM-R,6,8,1,0,15
xquad_mt5,xquad,mT5,5,7,0,0,12
xquad_xlm-r,xquad,XLM-R,5,7,0,0,12
