model,method,method_type,n_cells_hrl,n_cells_mrl,n_cells_lrl,pl_hrl,pl_mrl,pl_lrl,raw_gap_hrl,raw_gap_mrl,raw_gap_lrl,pl_mrl_minus_hrl,pl_lrl_minus_hrl,raw_gap_mrl_minus_hrl,raw_gap_lrl_minus_hrl
mT5,ASJP,Individual,8,8,8,19.266592649679684,23.209968217437904,21.043155951999573,10.025579127045287,10.770830391595897,7.5110826137563045,3.9433755677582205,1.7765633023198895,0.7452512645506104,-2.5144965132889823
mT5,Composite-Equal,Composite,8,8,8,16.65423285962076,19.28490880019351,19.38245078711862,7.818262103267952,9.132189766865096,7.484931652709477,2.6306759405727504,2.7282179274978624,1.313927663597144,-0.3333304505584751
mT5,Composite-RRF,Composite,8,8,8,15.536527906970367,18.79653091558543,19.412670730937812,6.520601438781295,8.865586212954732,7.435826177938857,3.2600030086150618,3.876142823967445,2.3449847741734366,0.9152247391575621
mT5,Genetic,Individual,8,8,8,21.96424699645139,17.29365249459679,23.85630834481806,11.687763083185303,8.740655569889832,8.69276354568158,-4.670594501854598,1.8920613483666706,-2.947107513295471,-2.9949995375037233
mT5,Geographic,Individual,8,8,8,24.800512891184066,24.41626508640187,21.418857750778386,11.826015744056676,10.870217653026337,7.740030877649755,-0.3842478047821949,-3.3816551404056803,-0.9557980910303385,-4.085984866406921
mT5,LightGBM,Trained,8,8,8,19.233071772817006,13.953776208944264,14.843946560191057,10.044337569494726,6.92813116875144,6.263776190476644,-5.279295563872742,-4.389125212625949,-3.1162064007432857,-3.7805613790180814
mT5,MLP,Trained,8,8,8,22.653129185817804,19.367817301961054,16.389746522574786,12.398553014617988,9.464541479511759,6.2702829081771,-3.2853118838567497,-6.263382663243018,-2.9340115351062295,-6.128270106440889
mT5,Script,Individual,8,8,8,26.69817024480256,23.65321808290564,22.417361938352748,12.551830516289398,10.744485998012276,8.063045885281419,-3.044952161896923,-4.2808083064498135,-1.8073445182771213,-4.488784631007979
mT5,Typological,Individual,8,8,8,23.918324161280726,22.840786949169157,22.931780047591865,11.87844979231466,10.70485415372022,8.096048814629436,-1.0775372121115687,-0.9865441136888613,-1.1735956385944402,-3.7824009776852243
mT5,Wikipedia size,Individual,8,8,8,17.843182272708784,31.354058476149987,29.189363227213192,7.841658141951257,13.93981943647577,9.386169284311059,13.510876203441203,11.346180954504408,6.0981612945245125,1.5445111423598021
XLM-R,ASJP,Individual,8,8,8,23.323927635769955,17.79020362698774,24.196168760001214,13.702204871386888,9.522676139564535,9.227050144583504,-5.533724008782215,0.8722411242312589,-4.179528731822353,-4.4751547268033836
XLM-R,Composite-Equal,Composite,8,8,8,14.88278051667366,15.435183065503276,20.66817709273649,7.496595850411715,7.872008214229172,8.915518101255449,0.5524025488296154,5.785396576062828,0.3754123638174569,1.4189222508437336
XLM-R,Composite-RRF,Composite,8,8,8,15.75150158168274,15.533358800323356,20.86584368864413,7.589984923155759,7.941095443069784,8.899104149632047,-0.21814278135938459,5.11434210696139,0.351110519914025,1.3091192264762874
XLM-R,Genetic,Individual,8,8,8,21.429266589987684,18.02392795521378,26.67110775157911,10.322685191802286,9.857090336654675,10.20585075418004,-3.405338634773905,5.241841161591427,-0.4655948551476108,-0.11683443762224677
XLM-R,Geographic,Individual,8,8,8,23.611747341405124,20.091258720053258,23.53472558569524,13.067611706852903,11.360209296772368,9.85648621852729,-3.5204886213518662,-0.07702175570988246,-1.707402410080535,-3.211125488325612
XLM-R,LightGBM,Trained,8,8,8,18.16203334431615,17.748827511586693,14.70697084074327,11.04201741749467,10.809958113716629,6.492483809548042,-0.41320583272945655,-3.4550625035728793,-0.23205930377804052,-4.5495336079466275
XLM-R,MLP,Trained,8,8,8,14.29684976464743,17.543477369758907,17.265752645463635,8.935507887283041,9.981154873207082,7.630913951617442,3.2466276051114775,2.9689028808162057,1.0456469859240407,-1.304593935665599
XLM-R,Script,Individual,8,8,8,27.155742472486075,23.86209362557181,27.617114744960674,13.102813851860173,14.423573353705619,11.209149781655928,-3.293648846914266,0.46137227247459833,1.3207595018454459,-1.8936640702042453
XLM-R,Typological,Individual,8,8,8,18.571153057221146,15.214630024249539,25.870321088138517,8.82031942006666,8.53977801343045,10.622014108192996,-3.356523032971607,7.299168030917372,-0.2805414066362104,1.8016946881263358
XLM-R,Wikipedia size,Individual,8,8,8,17.461544379560337,24.29344267181283,30.585914964065054,8.992855519228831,14.506854048919514,13.06552399770713,6.831898292252493,13.124370584504717,5.513998529690683,4.072668478478299
